"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"K","uss","2","peak","0.9","0.6","1.2"
"K","uss","2","first","-0.36","-0.62","-0.1"
"K","uss","2","last","0.69","0.46","0.89"
"K","uss","2","peak.20012016","1.14","0.26","2.04"
"K","uss","2","first.20012016","0.83","0.3","1.6"
"K","uss","2","last.20012016","-0.79","-1.44","-0.2"
