"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"J","ps","1","peak","1.14","0.87","1.41"
"J","ps","1","first","0.54","0.08","0.99"
"J","ps","1","last","0.97","0.52","1.4"
"J","ps","1","peak.20012016","0.74","-0.42","1.86"
"J","ps","1","first.20012016","2.67","1.6","3.77"
"J","ps","1","last.20012016","-0.95","-1.91","-0.03"
