"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"L","uss","2","peak","0.24","-0.26","0.75"
"L","uss","2","first","-1.78","-2.32","-1.23"
"L","uss","2","last","1.11","0.69","1.54"
"L","uss","2","peak.19902016","0.88","0.01","0.75"
"L","uss","2","first.19902016","-0.79","-1.2","-0.38"
"L","uss","2","last.19902016","1.11","0.69","1.54"
