"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"K","uss","3","1978","251","203","315","199","188","212","300","225","333","0.17"
"K","uss","3","1979","252","186","315","192","173","281","291","200","336","0.16"
"K","uss","3","1980","214","190","223","200","182","210","234","208","309","0.12"
"K","uss","3","1981","253","199","332","216","166","315","297","215","366","0.2"
"K","uss","3","1982","191","23","280","59","1","237","156","29","307","0.16"
"K","uss","3","1983","199","187","207","63","1","176","252","216","347","0.25"
"K","uss","3","1984","206","179","287","166","160","174","282","218","311","0.21"
"K","uss","3","1985","181","172","191","157","153","162","247","213","366","0.2"
"K","uss","3","1986","173","163","182","146","146","154","253","206","313","0.24"
"K","uss","3","1987","190","177","204","148","151","160","279","244","298","0.3"
"K","uss","3","1988","236","174","343","60","1","157","356","323","366","0.45"
"K","uss","3","1989","199","164","340","135","1","157","351","339","366","0.27"
"K","uss","3","1990","196","185","203","164","163","174","270","251","283","0.24"
"K","uss","3","1991","179","167","190","121","1","145","218","212","226","0.23"
"K","uss","3","1992","248","226","289","210","73","268","286","247","366","0.15"
"K","uss","3","1993","251","225","298","172","103","228","310","259","366","0.32"
"K","uss","3","1994","181","173","187","155","153","162","250","201","366","0.2"
"K","uss","3","1995","202","155","239","140","136","144","264","250","271","0.27"
"K","uss","3","1996","240","170","348","153","150","156","364","366","366","0.38"
"K","uss","3","1997","264","155","340","122","123","138","362","347","366","0.54"
"K","uss","3","1998","253","192","288","149","146","153","300","279","333","0.36"
"K","uss","3","1999","229","214","244","150","1","173","273","263","282","0.27"
"K","uss","3","2000","186","180","192","159","163","170","246","212","302","0.21"
"K","uss","3","2001","198","163","234","43","1","140","352","318","366","0.52"
"K","uss","3","2002","198","169","234","131","129","146","313","277","348","0.47"
"K","uss","3","2003","207","187","229","107","1","157","330","307","366","0.45"
"K","uss","3","2004","229","218","241","61","1","190","341","304","366","0.37"
"K","uss","3","2005","250","240","261","153","150","156","310","291","356","0.37"
"K","uss","3","2006","233","204","254","161","159","171","366","366","366","0.45"
"K","uss","3","2007","230","199","290","47","1","187","306","298","314","0.38"
"K","uss","3","2008","274","194","301","166","161","170","337","328","346","0.41"
"K","uss","3","2009","233","199","280","13","1","31","341","321","366","0.62"
"K","uss","3","2010","312","284","349","107","39","160","360","341","366","0.6"
"K","uss","3","2011","211","190","249","1","1","1","358","338","366","0.56"
"K","uss","3","2012","285","244","321","138","100","207","343","329","356","0.44"
"K","uss","3","2013","250","240","282","86","34","209","361","355","366","0.42"
"K","uss","3","2014","245","203","307","90","1","184","347","334","360","0.45"
"K","uss","3","2015","218","204","235","2","1","1","348","330","366","0.55"
"K","uss","3","2016","277","253","301","4","1","1","335","321","366","0.37"
"K","uss","3","2017","313","185","337","235","169","320","342","337","351","0.16"
