"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"L","uss","2","peak","0.23","-0.02","0.5"
"L","uss","2","first","-1.81","-2.1","-1.52"
"L","uss","2","last","1.07","0.83","1.3"
"L","uss","2","peak.20012016","-1.05","-1.98","-0.09"
"L","uss","2","first.20012016","0.53","0.23","0.87"
"L","uss","2","last.20012016","-0.18","-0.39","0.05"
