"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"L","uss","2","1978","214","204","222","204","188","223","298","303","303","0.23"
"L","uss","2","1979","204","193","213","213","182","299","257","203","303","0.17"
"L","uss","2","1980","251","201","288","265","215","297","290","268","303","0.2"
"L","uss","2","1981","245","215","267","202","92","249","265","235","284","0.28"
"L","uss","2","1982","232","221","243","222","208","234","244","233","254","0.14"
"L","uss","2","1983","242","194","264","206","176","246","266","252","280","0.27"
"L","uss","2","1984","217","194","274","199","178","265","270","215","303","0.27"
"L","uss","2","1985","218","200","231","207","187","225","244","215","303","0.19"
"L","uss","2","1986","247","197","271","248","218","280","276","255","303","0.22"
"L","uss","2","1987","218","180","255","215","177","275","239","197","303","0.21"
"L","uss","2","1988","215","186","278","199","171","277","292","243","303","0.32"
"L","uss","2","1989","195","158","217","195","158","216","218","189","303","0.19"
"L","uss","2","1990","197","174","213","164","149","179","253","214","303","0.37"
"L","uss","2","1991","202","193","212","183","172","197","220","210","231","0.16"
"L","uss","2","1992","262","226","294","174","165","192","301","303","303","0.59"
"L","uss","2","1993","236","217","264","163","160","166","295","280","303","0.6"
"L","uss","2","1994","221","181","249","157","152","162","276","258","303","0.45"
"L","uss","2","1995","183","173","194","155","150","160","241","213","266","0.36"
"L","uss","2","1996","233","218","251","194","186","202","274","263","303","0.34"
"L","uss","2","1997","186","172","214","153","150","157","272","250","303","0.47"
"L","uss","2","1998","237","222","250","153","149","157","283","277","289","0.59"
"L","uss","2","1999","261","234","289","174","170","179","302","299","303","0.57"
"L","uss","2","2000","223","188","262","162","158","166","287","274","303","0.51"
"L","uss","2","2001","230","197","269","153","149","157","303","303","303","0.68"
"L","uss","2","2002","248","228","275","141","136","147","299","289","303","0.75"
"L","uss","2","2003","227","191","270","155","152","159","301","294","303","0.66"
"L","uss","2","2004","272","244","294","165","158","173","303","303","303","0.65"
"L","uss","2","2005","266","235","292","151","144","157","303","303","303","0.63"
"L","uss","2","2006","242","232","253","146","92","167","282","275","288","0.56"
"L","uss","2","2007","266","217","293","161","157","164","303","303","303","0.56"
"L","uss","2","2008","227","197","270","160","157","164","302","301","303","0.64"
"L","uss","2","2009","244","219","269","153","148","160","302","297","303","0.67"
"L","uss","2","2010","259","220","290","136","126","146","303","303","303","0.76"
"L","uss","2","2011","219","197","260","131","92","158","285","281","289","0.62"
"L","uss","2","2012","235","192","294","152","142","162","303","303","303","0.63"
"L","uss","2","2013","216","200","233","151","147","154","290","282","297","0.65"
"L","uss","2","2014","190","181","199","159","154","164","300","296","303","0.51"
"L","uss","2","2015","275","253","293","141","132","151","303","303","303","0.74"
"L","uss","2","2016","230","205","262","173","159","189","292","276","303","0.46"
"L","uss","2","2017","242","227","258","182","163","197","297","285","303","0.51"
