"","lowobs","hiobs","probobs","firstdif","firstdifp","lastdif","lastdifp"
"1",100,165,0.829616003679007,-0.55,0.194498955320869,1.09999999999999,0.0460534003987446
"2",100,165,0.829616003679007,-0.35,0.540106521541613,0.849999999999994,0.268831490344959
"3",100,165,0.829616003679007,-1.25,0.00404130706125588,0,1
"4",100,165,0.829616003679007,-0.3,0.479464849935266,1.65000000000001,0.127235485109438
"5",100,165,0.829616003679007,-0.0499999999999998,0.875270208193042,0.400000000000006,0.290024393474136
"6",100,165,0.829616003679007,-0.4,0.343511323178625,0.700000000000017,0.100096189488974
"7",100,165,0.829616003679007,-0.15,0.760580338265829,1.5,0.00210900816082315
"8",100,165,0.829616003679007,-0.75,0.055528778684572,0.650000000000006,0.184391032461353
"9",100,165,0.829616003679007,-0.2,0.566019534931631,0.949999999999989,0.00568464669612526
"10",100,165,0.829616003679007,-1.1,0.0447421150862889,0.699999999999989,0.175557663031003
"11",100,165,0.829616003679007,0,1,0.25,0.684060978845693
"12",100,165,0.829616003679007,-0.25,0.428936296686396,0.199999999999989,0.72347526502286
"13",100,165,0.829616003679007,-1.05,0.0342527301866945,1.35000000000002,0.0141400521773649
"14",100,165,0.829616003679007,-0.2,0.609235984971963,1.20000000000002,0.0292759357180634
"15",100,165,0.829616003679007,-0.95,0.00148007956660704,0.5,0.127542951324086
"16",100,165,0.829616003679007,-0.6,0.194805875639109,1.20000000000002,0.00167578965925168
"17",100,165,0.829616003679007,-0.5,0.237342486650784,0.299999999999983,0.355300625580124
"18",100,165,0.829616003679007,-0.2,0.616176336576612,1.75,0.0277054697197628
"19",100,165,0.829616003679007,-0.1,0.748123873897881,0.849999999999994,0.0960135692625045
"20",100,165,0.829616003679007,-1.05,0.0343139007092877,0.400000000000006,0.238892787444969
