"","sp","site","phen","est","ci25","ci75","ci12.5","ci87.5","ci2.5","ci97.5"
"(Intercept)","ck","albion","first","-1549.498","-2235.973","-863.024","-2733.432","-365.564","-3634.004","535.008"
"year","ck","albion","first","0.826","0.484","1.168","0.236","1.416","-0.213","1.865"
"(Intercept)","ck","albion","last","-21855.503","-24880.539","-18830.466","-27072.656","-16638.349","-31041.142","-12669.863"
"year","ck","albion","last","10.977","9.469","12.484","8.377","13.577","6.399","15.555"
"(Intercept)","ck","albion","peak","-4465.947","-5239.198","-3692.696","-5799.54","-3132.353","-6813.953","-2117.941"
"year","ck","albion","peak","2.342","1.957","2.728","1.678","3.007","1.172","3.512"
