"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"L","ps","1","peak","1.03","0.64","1.41"
"L","ps","1","first","1.82","0.53","3.07"
"L","ps","1","last","0.92","-0.62","2.39"
