"pod","region","season","phase","slope.mn","slope.lci","slope.uci","2.5%","97.5%"
"J","ps","1","peak","1.14","0.87","1.41","0.29","1.88"
"J","ps","1","first","0.28","-0.08","0.66","-0.85","1.34"
"J","ps","1","last","1.62","1.26","2.01","0.48","2.57"
"J","ps","1","peak.20012016","0.74","-0.42","1.86","-2.53","4.3"
"J","ps","1","first.20012016","2.16","1.24","3.1","-0.71","4.88"
"J","ps","1","last.20012016","-0.32","-0.74","0.2","-2.25","1.07"
