"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"J","uss","2","peak","-0.82","-1.65","-0.06"
"J","uss","2","first","-1.95","-2.63","-1.27"
"J","uss","2","last","0.19","-0.05","0.51"
"J","uss","2","peak.20022016","-2.55","-5.42","-0.06"
"J","uss","2","first.20022016","-2.05","-2.94","-1.15"
"J","uss","2","last.20022016","-0.87","-1.61","-0.18"
