"pod","region","season","phase","slope.mn","slope.lci","slope.uci","2.5%","97.5%"
"K","uss","2","peak","0.93","0.44","1.42","0","1.8"
"K","uss","2","first","-0.34","-0.64","-0.02","-0.84","0.24"
"K","uss","2","last","0.38","0.15","0.61","0.04","0.78"
"K","uss","2","peak.20012016","1.2","-0.39","2.72","-1.54","3.68"
"K","uss","2","first.20012016","0.07","-0.67","0.83","-0.99","1.53"
"K","uss","2","last.20012016","-0.87","-1.68","-0.15","-1.95","0.11"
