"pod","region","season","phase","slope.mn","slope.lci","slope.uci","2.5%","97.5%"
"K","uss","2","peak","0.97","0.39","1.51","0.08","1.84"
"K","uss","2","first","-0.37","-0.79","0.06","-0.96","0.29"
"K","uss","2","last","0.5","0.18","0.82","0.07","1.02"
"K","uss","2","peak.20012016","1.25","-0.39","2.92","-1.32","3.77"
"K","uss","2","first.20012016","0.36","-0.64","1.6","-0.91","2.06"
"K","uss","2","last.20012016","-0.96","-1.73","-0.02","-1.96","0.66"
