"year","day","abs","AllSRpres","Jpres","Kpres","Lpres"
"1991",140,0,0,0,0,0
"1991",141,0,0,0,0,0
"1991",142,0,0,0,0,0
"1991",143,0,0,0,0,0
"1991",144,0,0,0,0,0
"1991",145,0,0,0,0,0
"1991",146,0,1,1,0,0
"1991",147,0,1,0,1,0
"1991",148,0,0,0,0,0
"1991",149,0,1,0,1,0
"1991",150,0,1,0,1,0
"1991",151,0,1,0,1,0
"1991",152,0,1,1,1,0
"1991",153,0,0,0,0,0
"1991",154,0,0,0,0,0
"1991",155,0,0,0,0,0
"1991",156,0,1,0,1,0
"1991",157,0,1,0,1,0
"1991",158,0,0,0,0,0
"1991",159,0,0,0,0,0
"1991",160,0,0,0,0,0
"1991",161,0,0,0,0,0
"1991",162,0,0,0,0,0
"1991",163,0,1,1,1,0
"1991",164,0,1,1,1,0
"1991",165,0,1,0,1,0
"1991",166,0,1,0,1,0
"1991",167,0,0,0,0,0
"1991",168,0,0,0,0,0
"1991",169,0,0,0,0,0
"1991",170,0,1,1,1,1
"1991",171,0,0,0,0,0
"1991",172,0,0,0,0,0
"1991",173,0,1,0,1,0
"1991",174,0,1,1,0,0
"1991",175,0,0,0,0,0
"1991",176,0,0,0,0,0
"1991",177,0,1,1,1,0
"1991",178,0,0,0,0,0
"1991",179,0,1,0,1,0
"1991",180,0,1,1,0,0
"1991",181,0,0,0,0,0
"1991",182,0,1,1,1,1
"1991",183,0,1,0,0,1
"1991",184,0,1,1,0,0
"1991",185,0,0,0,0,0
"1991",186,0,0,0,0,0
"1991",187,0,0,0,0,0
"1991",188,0,1,1,1,0
"1991",189,0,1,0,1,0
"1991",190,0,1,1,0,0
"1991",191,0,0,0,0,0
"1991",192,0,0,0,0,0
"1991",193,0,1,0,1,0
"1991",194,0,0,0,0,0
"1991",195,0,1,0,1,0
"1991",196,0,0,0,0,0
"1991",197,0,0,0,0,0
"1991",198,0,1,1,1,0
"1991",199,0,0,0,0,0
"1991",200,0,0,0,0,0
"1991",201,0,0,0,0,0
"1991",202,0,1,0,0,1
"1991",203,0,0,0,0,0
"1991",204,0,0,0,0,0
"1991",205,0,0,0,0,0
"1991",206,0,1,1,1,0
"1991",207,0,1,1,1,1
"1991",208,0,1,1,1,0
"1991",209,0,0,0,0,0
"1991",210,0,0,0,0,0
"1991",211,0,0,0,0,0
"1991",212,0,1,1,1,0
"1991",213,0,0,0,0,0
"1991",214,0,0,0,0,0
"1994",140,0,1,1,0,0
"1994",141,0,0,0,0,0
"1994",142,0,1,1,0,0
