"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"J","ps","1","peak","0.18","-4.72","6.18"
"J","ps","1","first","0.54","0.11","0.94"
"J","ps","1","last","1.44","1.05","1.84"
