"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"L","uss","2","peak","0.23","-0.41","0.86"
"L","uss","2","first","-1.2","-2.87","1.1"
"L","uss","2","last","-0.09","-1.14","1.33"
"L","uss","2","peak.20012016","-1.05","-3.37","1.23"
"L","uss","2","first.20012016","1.02","-1.13","3.36"
"L","uss","2","last.20012016","-1.01","-2.93","0.72"
