"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"J","uss","2","1978","179","164","195","123","92","150","293","229","303","0.47"
"J","uss","2","1979","142","101","282","93","92","92","303","303","303","0.68"
"J","uss","2","1980","157","134","191","109","92","130","256","218","303","0.53"
"J","uss","2","1981","156","142","169","107","92","124","278","231","303","0.59"
"J","uss","2","1982","163","154","172","129","92","142","223","189","256","0.4"
"J","uss","2","1983","197","183","210","145","92","176","236","217","267","0.4"
"J","uss","2","1984","212","174","274","168","156","175","275","251","303","0.32"
"J","uss","2","1985","222","124","274","120","92","200","285","250","303","0.5"
"J","uss","2","1986","208","149","253","153","126","202","250","205","269","0.35"
"J","uss","2","1987","187","162","221","142","135","151","265","243","286","0.47"
"J","uss","2","1988","144","122","162","98","92","109","294","274","303","0.65"
"J","uss","2","1989","159","116","234","100","92","110","259","246","272","0.55"
"J","uss","2","1990","123","102","150","92","92","92","263","256","271","0.74"
"J","uss","2","1991","178","155","200","125","92","149","228","214","242","0.47"
"J","uss","2","1992","266","241","292","219","92","260","298","281","303","0.33"
"J","uss","2","1993","255","232","295","94","92","92","302","303","303","0.74"
"J","uss","2","1994","133","122","140","100","92","108","281","246","303","0.62"
"J","uss","2","1995","152","101","287","92","92","92","300","295","303","0.75"
"J","uss","2","1996","113","97","129","92","92","92","265","250","303","0.64"
"J","uss","2","1997","112","100","129","92","92","92","302","303","303","0.7"
"J","uss","2","1998","242","123","289","93","92","92","301","291","303","0.88"
"J","uss","2","1999","177","129","242","100","92","106","276","267","286","0.78"
"J","uss","2","2000","114","99","129","92","92","92","281","220","303","0.72"
"J","uss","2","2001","118","101","132","92","92","92","286","277","297","0.85"
"J","uss","2","2002","126","101","162","92","92","92","291","280","303","0.91"
"J","uss","2","2003","133","104","168","92","92","92","302","299","303","0.92"
"J","uss","2","2004","149","108","189","92","92","92","302","299","303","0.97"
"J","uss","2","2005","226","114","296","92","92","92","303","303","303","0.99"
"J","uss","2","2006","181","115","255","96","92","107","301","296","303","0.95"
"J","uss","2","2007","248","165","293","92","92","92","303","303","303","0.97"
"J","uss","2","2008","122","99","147","92","92","92","287","282","292","0.89"
"J","uss","2","2009","242","233","262","95","92","107","293","289","297","0.85"
"J","uss","2","2010","201","185","218","127","106","140","301","293","303","0.78"
"J","uss","2","2011","213","185","252","107","92","123","303","301","303","0.85"
"J","uss","2","2012","186","172","198","110","92","121","301","297","303","0.78"
"J","uss","2","2013","237","135","291","117","104","131","302","302","303","0.62"
"J","uss","2","2014","242","200","286","135","127","142","303","303","303","0.79"
"J","uss","2","2015","216","198","233","92","92","92","298","289","303","0.86"
"J","uss","2","2016","231","211","258","95","92","97","301","294","303","0.72"
"J","uss","2","2017","203","102","293","93","92","92","303","303","303","0.64"
