"pod","region","season","phase","slope.mn","slope.lci","slope.uci","2.5%","97.5%"
"K","ps","1","peak","1.75","1.13","2.32","0.76","2.62"
"K","ps","1","first","1.18","0.33","1.98","-0.2","2.36"
"K","ps","1","last","2.88","1.99","3.75","1.5","4.12"
"K","ps","1","peak.20012016","1.59","-0.63","4.11","-1.97","5.67"
"K","ps","1","first.20012016","1.68","-0.44","3.74","-1.8","4.76"
"K","ps","1","last.20012016","1.08","0.46","1.83","0.23","2.29"
