"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl"
"J","uss","2","1978","180","164","196","126","92","151","292","229","303"
"J","uss","2","1979","133","99","170","93","92","92","303","303","303"
"J","uss","2","1980","157","133","191","109","92","130","256","217","303"
"J","uss","2","1981","158","143","173","107","92","124","277","230","303"
"J","uss","2","1982","162","154","171","130","92","142","223","190","254"
"J","uss","2","1983","198","185","211","146","92","176","236","218","265"
"J","uss","2","1984","212","174","274","168","155","175","273","198","303"
"J","uss","2","1985","215","112","280","115","92","197","286","250","303"
"J","uss","2","1986","209","151","253","156","128","210","251","208","270"
"J","uss","2","1987","187","162","220","142","135","150","264","241","287"
"J","uss","2","1988","143","123","160","99","92","110","295","275","303"
"J","uss","2","1989","163","115","234","100","92","110","259","247","271"
"J","uss","2","1990","122","101","147","92","92","92","263","256","271"
"J","uss","2","1991","180","170","189","134","126","141","225","218","234"
"J","uss","2","1992","271","244","295","219","207","254","301","303","303"
"J","uss","2","1993","249","232","281","94","92","92","300","299","303"
"J","uss","2","1994","132","122","139","100","92","108","281","248","303"
"J","uss","2","1995","134","100","241","92","92","92","300","291","303"
"J","uss","2","1996","113","98","130","92","92","92","264","251","303"
"J","uss","2","1997","115","104","129","92","92","92","303","303","303"
"J","uss","2","1998","230","109","288","92","92","92","301","299","303"
"J","uss","2","1999","173","129","239","99","92","105","275","268","284"
"J","uss","2","2000","113","100","128","92","92","92","277","219","303"
"J","uss","2","2001","113","99","129","92","92","92","284","277","291"
"J","uss","2","2002","131","105","156","92","92","92","292","281","303"
"J","uss","2","2003","112","101","125","92","92","92","301","295","303"
"J","uss","2","2004","155","111","186","92","92","92","302","299","303"
"J","uss","2","2005","280","267","299","92","92","92","303","303","303"
"J","uss","2","2006","183","116","256","96","92","104","301","296","303"
"J","uss","2","2007","251","125","292","92","92","92","303","303","303"
"J","uss","2","2008","118","100","141","92","92","92","287","282","292"
"J","uss","2","2009","247","238","261","97","92","111","293","289","297"
"J","uss","2","2010","201","184","218","127","109","140","300","291","303"
"J","uss","2","2011","215","184","256","108","92","123","303","302","303"
"J","uss","2","2012","187","173","200","107","92","120","301","297","303"
"J","uss","2","2013","232","134","292","117","104","131","302","301","303"
"J","uss","2","2014","267","242","292","132","125","139","303","303","303"
"J","uss","2","2015","213","197","228","92","92","92","297","288","303"
"J","uss","2","2016","228","210","257","95","92","99","301","294","303"
"J","uss","2","2017","276","274","298","97","92","107","303","303","303"
