"sp","site","year","firstobsdate","lastobsdate","peakobsdate","peakobsdate.sp","peakobsdate.fa","midobsdate","alltotal","alltotal.sp","alltotal.fa"
"ck","albion","1980","154","275","186","186","214","207","75.2943612739091","41.4921297792147","33.8022314946944"
"ck","albion","1981","100","98","183","183","214","198","78.0941467671015","49.8880116311245","28.206135135977"
"ck","albion","1982","101","98","187","187","213","203","116.464681894664","66.8407382041193","49.6239436905443"
"ck","albion","1983","100","97","181","181","214","195","101.617101448169","65.9773324772965","35.6397689708726"
"ck","albion","1984","101","99","215","212","215","208","113.767541074866","62.8506879346435","50.9168531402224"
"ck","albion","1985","101","99","188","188","215","205","109.503432786348","63.1066799050517","46.3967528812962"
"ck","albion","1986","100","98","184","184","215","201","114.503348100774","71.5154794394629","42.9878686613114"
"ck","albion","1987","100","99","179","179","213","183","163.788673263854","123.35806389035","40.4306093735042"
"ck","albion","1988","100","99","181","181","213","192","238.820862279644","161.551881735259","77.2689805443844"
"ck","albion","1989","100","99","185","185","213","199","108.94030913166","67.5758703016705","41.3644388299896"
"ck","albion","1990","100","99","183","183","213","194","132.516956633267","89.4172490152079","43.0997076180591"
"ck","albion","1991","100","99","219","212","219","211","191.496719754142","96.9469461356551","94.5497736184872"
"ck","albion","1992","100","99","215","212","215","206","263.610435447224","146.988572932606","116.621862514619"
"ck","albion","1993","100","99","186","186","213","198","134.170970980074","79.6904994951139","54.4804714849599"
"ck","albion","1994","100","99","184","184","213","196","183.796515982801","119.750962355772","64.0455536270282"
"ck","albion","1995","100","99","184","184","213","198","120.900166020511","75.763294263634","45.1368717568765"
"ck","albion","1996","100","99","220","212","220","212","246.99738985057","124.100520105226","122.896869745344"
"ck","albion","1997","100","99","224","212","224","219","114.935203544474","50.7723218400228","64.1628817044511"
"ck","albion","1998","100","99","218","212","218","204","151.831959193738","89.1677149446868","62.664244249051"
"ck","albion","1999","100","99","228","212","228","217","114.355390545888","50.6672524278379","63.68813811805"
"ck","albion","2000","100","99","223","212","223","212","127.437038625379","64.6163112840858","62.8207273412932"
"ck","albion","2001","100","98","185","185","213","198","192.512527489942","124.091222878558","68.4213046113838"
"ck","albion","2002","101","99","222","212","222","211","162.411443007688","83.7195472465981","78.6918957610897"
"ck","albion","2003","100","99","187","187","213","200","216.101693242272","135.128468926636","80.9732243156366"
"ck","albion","2004","100","99","228","212","228","219","137.176257710029","59.7789935063545","77.3972642036742"
"ck","albion","2005","100","99","236","212","236","223","94.5195073714047","35.1412699890485","59.3782373823562"
"ck","albion","2006","100","99","217","212","217","204","43.3237027831853","25.6553788329599","17.6683239502254"
"ck","albion","2007","168","292","264","212","264","237","53.0612238763852","10.6782377934562","42.382986082929"
"ck","albion","2008","125","293","257","212","257","230","56.183588895894","16.4910537291786","39.6925351667154"
"ck","albion","2009","100","99","232","212","232","222","72.5043991756904","28.4207333563942","44.0836658192962"
"ck","albion","2010","100","99","229","212","229","215","71.3595890311077","33.1436441782068","38.2159448529009"
"ck","albion","2011","100","99","241","212","241","224","46.5185845530458","16.5618275974429","29.9567569556029"
"ck","albion","2012","116","294","258","212","258","231","23.4883434553004","6.57553326245595","16.9128101928444"
"ck","albion","2013","111","293","259","212","259","231","28.0622858562241","7.94719579196125","20.1150900642629"
"ck","albion","2014","112","293","234","212","234","219","53.766166158526","22.4882574504812","31.2779087080448"
"ck","albion","2015","116","293","261","212","261","233","92.5602088130394","23.234058310244","69.3261505027953"
"ck","albion","2016","115","294","260","212","260","232","50.0871852619095","13.6891361816054","36.3980490803041"
"ck","albion","2017","113","293","257","212","257","229","16.9735141112422","5.03305492647775","11.9404591847645"
