"pod","region","season","phase","slope.mn","slope.lci","slope.uci","2.5%","97.5%"
"K","uss","2","peak","0.97","0.39","1.51","0.08","1.84"
"K","uss","2","first","-0.35","-0.85","0.15","-1.1","0.41"
"K","uss","2","last","0.68","0.3","1.11","0.12","1.36"
"K","uss","2","peak.20012016","1.25","-0.39","2.92","-1.32","3.77"
"K","uss","2","first.20012016","0.87","-0.47","2.07","-0.89","2.77"
"K","uss","2","last.20012016","-0.82","-1.68","0.73","-1.92","1.25"
