"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"K","ps","1","peak","1.81","1.21","2.4"
"K","ps","1","first","1.62","0.58","2.62"
"K","ps","1","last","2.77","1.79","3.73"
