"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"K","ps","1","peak","1.77","1.48","2.07"
"K","ps","1","first","1.67","1.14","2.23"
"K","ps","1","last","2.75","2.2","3.32"
"K","ps","1","peak.20012016","1.92","0.67","3.08"
"K","ps","1","first.20012016","2.27","1.01","3.62"
"K","ps","1","last.20012016","1.5","0.89","2.11"
