"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"J","ps","1","peak","1.07","0.54","1.58"
"J","ps","1","first","0.5","-0.38","1.37"
"J","ps","1","last","0.98","0.14","1.8"
