"pod","region","season","phase","slope.mn","slope.lci","slope.uci","2.5%","97.5%"
"J","uss","2","peak","0.35","-0.81","1.61","-1.05","1.81"
"J","uss","2","first","-2.37","-3.28","-1.42","-3.46","-1.23"
"J","uss","2","last","2.73","2.02","3.47","1.9","3.6"
"J","uss","2","peak.20012016","2.78","-1.67","7.92","-2.34","8.7"
"J","uss","2","first.20012016","-1.15","-2.34","0.13","-2.62","0.45"
"J","uss","2","last.20012016","1.18","0.12","2.25","-0.08","2.46"
