"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"K","uss","2","peak","0.9","0.59","1.22"
"K","uss","2","first","-0.34","-0.61","-0.09"
"K","uss","2","last","0.65","0.42","0.84"
"K","uss","2","peak.20012016","1.11","0.15","2.08"
"K","uss","2","first.20012016","0.87","0.34","1.62"
"K","uss","2","last.20012016","-0.81","-1.42","-0.25"
