"","x"
"sp","ck"
"site","albion"
"mn.cpue","2.10470884840599"
"mn.total","1816.8"
"meanfirst.int",NA
"first.intlci",NA
"first.intuci",NA
"first.yr",NA
"first.yrlci",NA
"first.yruci",NA
"last.int",NA
"last.intlci",NA
"last.intuci",NA
"last.yr",NA
"last.yrlci",NA
"last.yruci",NA
"mid.int",NA
"mid.intlci",NA
"mid.intuci",NA
"mid.yr",NA
"mid.yrlci",NA
"mid.yruci",NA
"pk.int",NA
"pk.intlci",NA
"pk.intuci",NA
"pk.yr",NA
"pk.yrlci",NA
"pk.yruci",NA
