"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl"
"J","uss","2","1978","179","163","194","126","92","150","293","230","303"
"J","uss","2","1979","139","101","274","93","92","92","302","303","303"
"J","uss","2","1980","158","135","197","109","92","130","256","218","303"
"J","uss","2","1981","156","141","171","106","92","124","278","229","303"
"J","uss","2","1982","163","154","171","130","92","142","223","189","253"
"J","uss","2","1983","197","184","210","146","92","176","236","217","266"
"J","uss","2","1984","213","173","273","167","155","175","274","247","303"
"J","uss","2","1985","220","118","277","119","92","199","284","249","303"
"J","uss","2","1986","209","149","254","155","126","212","251","209","270"
"J","uss","2","1987","187","162","219","142","135","150","264","241","292"
"J","uss","2","1988","143","123","161","98","92","109","295","274","303"
"J","uss","2","1989","162","116","235","100","92","109","259","247","271"
"J","uss","2","1990","122","100","151","92","92","92","263","255","271"
"J","uss","2","1991","175","153","193","127","92","146","223","215","232"
"J","uss","2","1992","269","245","293","210","92","249","300","298","303"
"J","uss","2","1993","253","233","292","93","92","92","301","303","303"
"J","uss","2","1994","132","122","140","100","92","108","281","248","303"
"J","uss","2","1995","152","101","281","92","92","92","300","295","303"
"J","uss","2","1996","113","98","130","92","92","92","265","250","303"
"J","uss","2","1997","113","100","126","92","92","92","302","303","303"
"J","uss","2","1998","238","116","289","93","92","92","300","289","303"
"J","uss","2","1999","179","130","241","100","92","106","275","267","284"
"J","uss","2","2000","116","100","133","92","92","92","285","221","303"
"J","uss","2","2001","118","99","133","92","92","92","284","277","292"
"J","uss","2","2002","135","102","174","92","92","92","291","280","303"
"J","uss","2","2003","131","103","166","92","92","92","302","298","303"
"J","uss","2","2004","143","105","178","92","92","92","302","301","303"
"J","uss","2","2005","255","206","296","92","92","92","303","303","303"
"J","uss","2","2006","188","127","256","96","92","104","301","296","303"
"J","uss","2","2007","225","116","292","92","92","92","303","303","303"
"J","uss","2","2008","122","99","147","92","92","92","287","282","292"
"J","uss","2","2009","244","235","262","97","92","111","293","289","297"
"J","uss","2","2010","200","184","217","127","111","140","301","293","303"
"J","uss","2","2011","213","183","254","107","92","123","303","302","303"
"J","uss","2","2012","186","172","200","107","92","120","301","296","303"
"J","uss","2","2013","231","134","292","117","104","131","302","301","303"
"J","uss","2","2014","254","205","292","131","124","139","303","303","303"
"J","uss","2","2015","215","197","234","92","92","92","298","289","303"
"J","uss","2","2016","229","210","257","95","92","99","301","294","303"
"J","uss","2","2017","269","121","298","97","92","116","303","303","303"
