"","sp","site","phen","est","ci25","ci75","ci12.5","ci87.5","ci2.5","ci97.5"
"(Intercept)","ck","albion","first","-6570.739","-7514.675","-5626.802","-8198.706","-4942.771","-9437.037","-3704.44"
"year","ck","albion","first","3.331","2.861","3.802","2.52","4.143","1.903","4.76"
"(Intercept)","ck","albion","last","435.937","228.58","643.294","78.317","793.557","-193.711","1065.584"
"year","ck","albion","last","-0.071","-0.174","0.032","-0.249","0.107","-0.385","0.243"
"(Intercept)","ck","albion","peak","-1399.471","-1613.442","-1185.501","-1768.498","-1030.445","-2049.202","-749.741"
"year","ck","albion","peak","0.815","0.709","0.922","0.631","0.999","0.492","1.139"
