"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"J","uss","2","1978","179","155","202","25","1","117","310","228","366","0.36"
"J","uss","2","1979","197","131","325","7","1","84","356","311","366","0.42"
"J","uss","2","1980","160","122","217","3","1","3","274","246","306","0.41"
"J","uss","2","1981","168","141","334","102","82","118","363","346","366","0.43"
"J","uss","2","1982","164","151","179","70","1","129","293","232","344","0.32"
"J","uss","2","1983","194","175","212","74","1","149","293","236","366","0.27"
"J","uss","2","1984","213","164","272","142","108","166","288","265","313","0.2"
"J","uss","2","1985","228","193","260","56","1","157","281","257","315","0.26"
"J","uss","2","1986","184","51","252","52","1","138","268","253","288","0.29"
"J","uss","2","1987","189","165","221","73","1","140","342","271","366","0.35"
"J","uss","2","1988","201","128","346","1","1","1","364","345","366","0.64"
"J","uss","2","1989","186","101","299","5","1","39","336","292","366","0.5"
"J","uss","2","1990","139","64","183","20","1","63","271","261","281","0.56"
"J","uss","2","1991","174","59","263","50","1","145","283","214","366","0.4"
"J","uss","2","1992","288","254","325","214","1","270","334","300","366","0.21"
"J","uss","2","1993","247","17","360","1","1","1","364","366","366","0.73"
"J","uss","2","1994","167","70","350","11","1","49","366","366","366","0.69"
"J","uss","2","1995","199","18","354","1","1","1","366","366","366","0.86"
"J","uss","2","1996","124","32","335","3","1","17","363","348","366","0.68"
"J","uss","2","1997","49","9","93","1","1","1","364","351","366","0.78"
"J","uss","2","1998","276","85","344","29","8","46","363","351","366","0.8"
"J","uss","2","1999","245","37","345","2","1","1","365","357","366","0.87"
"J","uss","2","2000","110","83","140","38","1","60","357","329","366","0.61"
"J","uss","2","2001","95","19","201","1","1","2","335","323","349","0.8"
"J","uss","2","2002","163","129","199","3","1","17","358","336","366","0.77"
"J","uss","2","2003","144","96","195","14","1","30","363","352","366","0.83"
"J","uss","2","2004","180","133","220","18","1","45","357","342","366","0.8"
"J","uss","2","2005","206","125","274","36","10","62","364","355","366","0.82"
"J","uss","2","2006","209","155","261","2","1","1","337","328","348","0.75"
"J","uss","2","2007","250","158","291","26","1","48","343","337","349","0.79"
"J","uss","2","2008","145","99","185","19","1","43","366","366","366","0.79"
"J","uss","2","2009","227","190","254","18","1","43","363","347","366","0.72"
"J","uss","2","2010","209","187","235","1","1","1","366","366","366","0.81"
"J","uss","2","2011","217","183","261","1","1","1","366","366","366","0.85"
"J","uss","2","2012","186","170","202","4","1","21","363","351","366","0.65"
"J","uss","2","2013","238","135","277","1","1","1","366","366","366","0.51"
"J","uss","2","2014","214","192","237","1","1","1","365","363","366","0.67"
"J","uss","2","2015","216","195","241","1","1","1","360","339","366","0.77"
"J","uss","2","2016","243","215","281","1","1","1","364","355","366","0.7"
"J","uss","2","2017","139","47","302","10","1","21","362","353","366","0.6"
