"","x"
"sp","ck"
"site","albion"
"mn.cpue","0.168811881188119"
"mn.total","1816.8"
"meanfirst.int","-1357.585"
"first.intlci","-1944.013"
"first.intuci","-771.156"
"first.yr","0.73"
"first.yrlci","0.436"
"first.yruci","1.023"
"last.int","454.442"
"last.intlci","296.111"
"last.intuci","612.773"
"last.yr","-0.106"
"last.yrlci","-0.185"
"last.yruci","-0.027"
"mid.int","-2380.567"
"mid.intlci","-2777.125"
"mid.intuci","-1984.009"
"mid.yr","1.289"
"mid.yrlci","1.091"
"mid.yruci","1.488"
"pk.int","-2765.662"
"pk.intlci","-3432.225"
"pk.intuci","-2099.099"
"pk.yr","1.483"
"pk.yrlci","1.15"
"pk.yruci","1.816"
