"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"J","ps","1","1978","213","205","219","227","197","346","244","210","366","0.06"
"J","ps","1","1979","272","243","300","267","183","361","281","192","366","0.01"
"J","ps","1","1980","270","234","305","225","183","353","242","191","366","0.01"
"J","ps","1","1981","240","226","253","245","183","342","261","191","366","0.03"
"J","ps","1","1982","288","270","309","270","257","286","302","285","319","0.16"
"J","ps","1","1983","265","229","299","277","183","356","309","192","366","0.02"
"J","ps","1","1984","263","235","289","261","183","349","310","238","366","0.04"
"J","ps","1","1985","208","189","231","183","183","183","249","206","293","0.31"
"J","ps","1","1986","281","246","316","225","183","295","260","194","366","0.05"
"J","ps","1","1987","339","327","353","316","301","337","362","353","366","0.24"
"J","ps","1","1988","323","299","351","276","257","306","361","350","366","0.43"
"J","ps","1","1989","279","267","294","263","251","274","296","281","313","0.17"
"J","ps","1","1990","245","214","266","198","183","238","263","250","271","0.25"
"J","ps","1","1991","271","257","285","248","225","271","290","277","303","0.17"
"J","ps","1","1992","299","280","319","272","243","297","329","306","366","0.28"
"J","ps","1","1993","332","281","359","250","183","344","365","366","366","0.33"
"J","ps","1","1994","312","252","355","218","183","291","366","366","366","0.69"
"J","ps","1","1995","308","244","353","195","183","235","366","366","366","0.92"
"J","ps","1","1996","277","229","321","213","183","274","333","269","366","0.48"
"J","ps","1","1997","220","193","256","185","183","183","365","366","366","0.77"
"J","ps","1","1998","312","274","349","215","183","270","365","366","366","0.79"
"J","ps","1","1999","299","253","344","215","183","274","361","347","366","0.76"
"J","ps","1","2000","275","229","307","209","183","261","346","334","366","0.7"
"J","ps","1","2001","271","212","314","212","183","270","330","316","348","0.59"
"J","ps","1","2002","253","207","290","192","183","220","350","314","366","0.83"
"J","ps","1","2003","317","296","340","257","236","279","361","351","366","0.53"
"J","ps","1","2004","276","234","330","220","183","263","344","316","360","0.56"
"J","ps","1","2005","332","320","353","271","183","304","364","361","366","0.43"
"J","ps","1","2006","295","284","307","271","259","284","320","304","332","0.25"
"J","ps","1","2007","298","289","309","256","246","268","335","330","341","0.43"
"J","ps","1","2008","299","218","356","232","183","294","366","366","366","0.58"
"J","ps","1","2009","289","193","351","195","183","183","352","334","366","0.36"
"J","ps","1","2010","284","262","323","231","183","265","352","324","366","0.55"
"J","ps","1","2011","299","244","347","246","209","277","363","354","366","0.56"
"J","ps","1","2012","320","313","327","295","288","304","340","336","344","0.24"
"J","ps","1","2013","291","275","302","269","253","290","365","366","366","0.32"
"J","ps","1","2014","318","308","334","283","244","309","355","336","366","0.3"
"J","ps","1","2015","279","200","318","207","183","301","269","202","347","0.25"
"J","ps","1","2016","295","289","302","273","268","280","325","314","338","0.28"
"J","ps","1","2017","285","276","293","260","255","270","322","301","348","0.3"
