"pod","region","season","phase","slope.mn","slope.lci","slope.uci","2.5%","97.5%"
"K","ps","1","peak","1.75","1.13","2.32","0.76","2.62"
"K","ps","1","first","1","0.25","1.71","-0.23","2.05"
"K","ps","1","last","2.92","2.09","3.71","1.6","4.03"
"K","ps","1","peak.20012016","1.59","-0.63","4.11","-1.97","5.67"
"K","ps","1","first.20012016","1.39","-0.52","3.23","-1.9","4.16"
"K","ps","1","last.20012016","0.91","0.45","1.44","0.28","1.85"
