"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"K","uss","2","peak","0.36","-0.12","0.87"
"K","uss","2","first","-0.42","-0.62","-0.2"
"K","uss","2","last","0.36","-0.05","0.76"
