"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"L","uss","2","peak","0.22","-0.29","0.73"
"L","uss","2","first","-1.8","-2.34","-1.25"
"L","uss","2","last","1.08","0.66","1.52"
"L","uss","2","peak.20022016","-1.18","-3.15","0.77"
"L","uss","2","first.20022016","0.75","-0.03","1.54"
"L","uss","2","last.20022016","-0.1","-0.58","0.35"
