"type","sp","site","mn.total.runsize","first.int","first.intlci","first.intuci","first.yr","first.yrlci","first.yruci","last.int","last.intlci","last.intuci","last.yr","last.yrlci","last.yruci","mid.int","mid.intlci","mid.intuci","mid.yr","mid.yrlci","mid.yruci","pk.int","pk.intlci","pk.intuci","pk.yr","pk.yrlci","pk.yruci"
"wild","CK","CEDAR RIVER HATCHERY","36","884.346","327.003","1441.689","-0.312","-0.589","-0.034","3123.184","2347.135","3899.232","-1.41","-1.796","-1.023","876.95","-35.281","1789.182","-0.302","-0.756","0.152","1341.075","529.325","2152.825","-0.534","-0.939","-0.13"
"wild","CH","ELWHA HATCHERY","134.5","7344.5","-4886.582","19575.582","-3.5","-9.575","2.575","29342.4","3367.243","55317.557","-14.4","-27.3","-1.5","1527.6","-26826.929","29882.129","-0.6","-14.682","13.482","4751.2","-16539.194","26041.594","-2.2","-12.774","8.374"
"wild","CH","GARRISON HATCHERY","1417.875","-6834.86","-11045.111","-2624.609","3.563","1.463","5.662","8008.009","3296.907","12719.111","-3.808","-6.157","-1.458","1162.151","-865.46","3189.761","-0.407","-1.418","0.605","3174.915","59.195","6290.634","-1.408","-2.962","0.146"
"wild","CH","SOOS CREEK HATCHERY","495.125","1913.207","-556.833","4383.247","-0.793","-2.021","0.435","10832.891","3061.826","18603.956","-5.214","-9.079","-1.35","2861.528","913.056","4810","-1.261","-2.23","-0.292","3621.149","2096.033","5146.265","-1.641","-2.399","-0.882"
"wild","CO","CEDAR RIVER HATCHERY","21.1538461538462","393.536","-840.238","1627.31","-0.061","-0.676","0.555","3671.596","2284.877","5058.314","-1.679","-2.371","-0.988","3385.67","2095.137","4676.204","-1.544","-2.188","-0.901","3763.732","2749.802","4777.661","-1.733","-2.239","-1.227"
"wild","CO","MINTER CR HATCHERY","621.666666666667","-3948.833","-7180.986","-716.68","2.083","0.478","3.688","-7478.244","-13067.995","-1888.494","3.867","1.091","6.642","-2770.122","-7248.802","1708.557","1.517","-0.707","3.74","-4411.333","-8655.08","-167.587","2.333","0.226","4.44"
"hatch","CK","ELWHA HATCHERY","1266.88888888889","14805.611","7373.885","22237.338","-7.25","-10.94","-3.56","1127.056","-3168.536","5422.647","-0.417","-2.55","1.716","20052.767","8816.114","31289.421","-9.837","-15.42","-4.254","5624.333","235.467","11013.2","-2.667","-5.342","0.009"
"hatch","CK","MINTER CR HATCHERY","7647.66666666667","5483.579","4099.427","6867.73","-2.647","-3.336","-1.957","1716.498","767.037","2665.958","-0.712","-1.185","-0.239","-375.26","-1278.421","527.901","0.307","-0.143","0.758","403.802","-745.297","1552.901","-0.08","-0.652","0.493"
"hatch","CK","GEORGE ADAMS HATCHERY","13357.1363636364","6651.336","5783.297","7519.375","-3.206","-3.638","-2.773","-48.346","-725.263","628.57","0.167","-0.17","0.504","3830.36","2259.13","5401.59","-1.783","-2.566","-1","3546.517","2652.942","4440.092","-1.642","-2.087","-1.197"
"hatch","CK","HOODSPORT HATCHERY","3613.40909090909","-152.273","-1097.154","792.609","0.182","-0.289","0.652","1401.472","591.054","2211.89","-0.56","-0.964","-0.156","2924.521","1569.444","4279.598","-1.333","-2.008","-0.657","1338.366","437.883","2238.85","-0.545","-0.993","-0.096"
"hatch","CK","GLENWOOD SPRINGS","557.235294117647","2730.707","1303.605","4157.81","-1.239","-1.949","-0.528","1498.257","-478.823","3475.337","-0.603","-1.587","0.381","2587.765","846.745","4328.785","-1.162","-2.029","-0.295","2495.923","1501.487","3490.359","-1.115","-1.61","-0.62"
"hatch","CH","MINTER CR HATCHERY","30001.4210526316","3602.421","686.244","6518.598","-1.658","-3.112","-0.204","2281.004","1580.893","2981.114","-0.96","-1.309","-0.611","1194.905","445.088","1944.722","-0.432","-0.805","-0.058","1055.509","292.892","1818.126","-0.36","-0.74","0.021"
"hatch","CH","GEORGE ADAMS HATCHERY","17781.0526315789","1200.737","670.066","1731.408","-0.447","-0.712","-0.183","822.867","151.893","1493.841","-0.244","-0.578","0.091","185.53","-466.268","837.327","0.067","-0.258","0.392","-491.702","-1184.562","201.159","0.404","0.058","0.749"
"hatch","CH","HOODSPORT HATCHERY","25179.3157894737","-2870.863","-4424.506","-1317.22","1.574","0.799","2.348","1231.467","539.932","1923.001","-0.449","-0.794","-0.104","794.098","-58.624","1646.821","-0.239","-0.664","0.186","6.039","-628.793","640.871","0.154","-0.162","0.471"
"hatch","CH","MCKERNAN HATCHERY","28650.4210526316","1809.161","1455.131","2163.192","-0.749","-0.926","-0.573","-135.691","-720.375","448.993","0.235","-0.056","0.527","640.933","-230.713","1512.579","-0.161","-0.596","0.273","1218.993","438.527","1999.459","-0.449","-0.838","-0.06"
"hatch","CH","WHATCOM CR HATCHERY","8640","-1487.416","-2055.404","-919.429","0.885","0.602","1.167","2730.568","2133.271","3327.865","-1.187","-1.484","-0.89","-578.37","-1275.253","118.512","0.447","0.1","0.793","-164.22","-976.113","647.673","0.24","-0.164","0.643"
"hatch","CO","MINTER CR HATCHERY","11500.1578947368","738.638","-107.073","1584.35","-0.251","-0.672","0.171","3256.033","1989.276","4522.791","-1.455","-2.086","-0.824","956.533","-234.629","2147.695","-0.337","-0.93","0.256","-306.008","-1507.795","895.78","0.291","-0.308","0.89"
