"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"L","uss","2","1978","213","203","221","205","190","215","298","303","303","0.23"
"L","uss","2","1979","204","193","212","216","184","298","258","205","303","0.17"
"L","uss","2","1980","253","208","287","264","219","294","288","265","303","0.2"
"L","uss","2","1981","246","216","267","204","92","247","265","243","283","0.28"
"L","uss","2","1982","230","218","241","220","206","233","242","231","252","0.13"
"L","uss","2","1983","242","199","263","208","180","244","265","254","278","0.27"
"L","uss","2","1984","216","197","233","202","184","219","268","216","303","0.25"
"L","uss","2","1985","218","203","231","206","189","222","244","220","303","0.19"
"L","uss","2","1986","250","218","272","250","234","274","277","259","303","0.21"
"L","uss","2","1987","220","187","251","217","182","261","241","205","303","0.2"
"L","uss","2","1988","220","188","265","208","175","279","293","262","303","0.32"
"L","uss","2","1989","197","156","220","212","153","293","228","181","303","0.18"
"L","uss","2","1990","197","174","212","163","150","177","254","214","303","0.37"
"L","uss","2","1991","202","195","209","182","172","193","221","210","231","0.17"
"L","uss","2","1992","253","225","283","176","166","190","299","285","303","0.56"
"L","uss","2","1993","227","206","261","163","159","166","288","268","303","0.55"
"L","uss","2","1994","219","185","247","158","153","163","276","259","303","0.45"
"L","uss","2","1995","183","173","193","155","149","160","240","217","261","0.36"
"L","uss","2","1996","233","219","249","194","187","201","275","264","303","0.35"
"L","uss","2","1997","185","173","201","153","150","157","272","251","303","0.47"
"L","uss","2","1998","236","223","249","153","149","156","284","278","290","0.59"
"L","uss","2","1999","261","238","287","174","171","178","302","303","303","0.57"
"L","uss","2","2000","222","190","260","162","158","166","285","274","303","0.51"
"L","uss","2","2001","234","203","266","153","150","156","301","297","303","0.68"
"L","uss","2","2002","238","219","256","142","137","146","295","286","303","0.72"
"L","uss","2","2003","227","191","270","155","152","158","301","296","303","0.66"
"L","uss","2","2004","270","247","293","166","160","173","303","303","303","0.66"
"L","uss","2","2005","266","239","291","151","144","157","303","303","303","0.63"
"L","uss","2","2006","243","234","252","157","151","165","281","276","286","0.54"
"L","uss","2","2007","266","220","293","161","157","164","303","303","303","0.56"
"L","uss","2","2008","227","201","262","162","159","165","302","301","303","0.64"
"L","uss","2","2009","242","217","267","153","148","160","302","298","303","0.67"
"L","uss","2","2010","255","222","286","137","129","146","303","303","303","0.75"
"L","uss","2","2011","220","199","256","131","92","157","285","281","289","0.62"
"L","uss","2","2012","221","189","287","151","143","161","303","303","303","0.62"
"L","uss","2","2013","216","202","230","151","148","154","290","284","296","0.66"
"L","uss","2","2014","191","182","199","159","155","164","300","303","303","0.51"
"L","uss","2","2015","271","250","292","141","134","150","303","303","303","0.75"
"L","uss","2","2016","229","207","255","173","160","188","291","277","303","0.45"
"L","uss","2","2017","244","225","262","181","162","198","298","288","303","0.49"
