"type","sp","site","mn.total.runsize","first.int","first.intlci","first.intuci","first.yr","first.yrlci","first.yruci","last.int","last.intlci","last.intuci","last.yr","last.yrlci","last.yruci","mid.int","mid.intlci","mid.intuci","mid.yr","mid.yrlci","mid.yruci","pk.int","pk.intlci","pk.intuci","pk.yr","pk.yrlci","pk.yruci"
"hatch","CK","ELWHA HATCHERY","1266.88888888889","14805.611","7373.885","22237.338","-7.25","-10.94","-3.56","1127.056","-3168.536","5422.647","-0.417","-2.55","1.716","20052.767","8816.114","31289.421","-9.837","-15.42","-4.254","5624.333","235.467","11013.2","-2.667","-5.342","0.009"
"hatch","CK","MINTER CR HATCHERY","7647.66666666667","5483.579","4099.427","6867.73","-2.647","-3.336","-1.957","1716.498","767.037","2665.958","-0.712","-1.185","-0.239","-375.26","-1278.421","527.901","0.307","-0.143","0.758","403.802","-745.297","1552.901","-0.08","-0.652","0.493"
"hatch","CK","GEORGE ADAMS HATCHERY","13357.1363636364","6651.336","5783.297","7519.375","-3.206","-3.638","-2.773","-48.346","-725.263","628.57","0.167","-0.17","0.504","3830.36","2259.13","5401.59","-1.783","-2.566","-1","3546.517","2652.942","4440.092","-1.642","-2.087","-1.197"
"hatch","CK","HOODSPORT HATCHERY","3613.40909090909","-152.273","-1097.154","792.609","0.182","-0.289","0.652","1401.472","591.054","2211.89","-0.56","-0.964","-0.156","2924.521","1569.444","4279.598","-1.333","-2.008","-0.657","1338.366","437.883","2238.85","-0.545","-0.993","-0.096"
"hatch","CK","GLENWOOD SPRINGS","557.235294117647","2730.707","1303.605","4157.81","-1.239","-1.949","-0.528","1498.257","-478.823","3475.337","-0.603","-1.587","0.381","2587.765","846.745","4328.785","-1.162","-2.029","-0.295","2495.923","1501.487","3490.359","-1.115","-1.61","-0.62"
"hatch","CH","MINTER CR HATCHERY","30001.4210526316","3602.421","686.244","6518.598","-1.658","-3.112","-0.204","2281.004","1580.893","2981.114","-0.96","-1.309","-0.611","1194.905","445.088","1944.722","-0.432","-0.805","-0.058","1055.509","292.892","1818.126","-0.36","-0.74","0.021"
"hatch","CH","GEORGE ADAMS HATCHERY","17781.0526315789","1200.737","670.066","1731.408","-0.447","-0.712","-0.183","822.867","151.893","1493.841","-0.244","-0.578","0.091","185.53","-466.268","837.327","0.067","-0.258","0.392","-491.702","-1184.562","201.159","0.404","0.058","0.749"
"hatch","CH","HOODSPORT HATCHERY","25179.3157894737","-2870.863","-4424.506","-1317.22","1.574","0.799","2.348","1231.467","539.932","1923.001","-0.449","-0.794","-0.104","794.098","-58.624","1646.821","-0.239","-0.664","0.186","6.039","-628.793","640.871","0.154","-0.162","0.471"
"hatch","CH","MCKERNAN HATCHERY","28650.4210526316","1809.161","1455.131","2163.192","-0.749","-0.926","-0.573","-135.691","-720.375","448.993","0.235","-0.056","0.527","640.933","-230.713","1512.579","-0.161","-0.596","0.273","1218.993","438.527","1999.459","-0.449","-0.838","-0.06"
"hatch","CH","WHATCOM CR HATCHERY","8640","-1487.416","-2055.404","-919.429","0.885","0.602","1.167","2730.568","2133.271","3327.865","-1.187","-1.484","-0.89","-578.37","-1275.253","118.512","0.447","0.1","0.793","-164.22","-976.113","647.673","0.24","-0.164","0.643"
"hatch","CO","MINTER CR HATCHERY","11500.1578947368","738.638","-107.073","1584.35","-0.251","-0.672","0.171","3256.033","1989.276","4522.791","-1.455","-2.086","-0.824","956.533","-234.629","2147.695","-0.337","-0.93","0.256","-306.008","-1507.795","895.78","0.291","-0.308","0.89"
