"LikelyPod","FishArea","Lat","Long"
"","07","48.5602","-123.2168"
"SRs","06","48.1084","-122.9311"
"SRs","09","48.1203","-122.7177"
"SRs","09","48.0449","-122.7495"
"J","07","48.6562","-123.243"
"","18C","48.7226","-123.4416"
"","07","48.4489","-122.7675"
"","07","48.4412","-122.9393"
"SRs","82","48.0251","-122.314"
"","19C","48.4125","-123.2314"
"SRs","18C","48.8488","-123.3539"
"","07","48.4454","-123.0354"
"SRs","06","48.3196","-122.83"
"","07","48.6266","-123.1794"
"","19C","48.6794","-123.3138"
"SRs","07","48.5324","-122.7422"
"SRs","07","48.5794","-122.6464"
"SRs","07","48.7628","-122.9628"
"","07","48.4062","-123.0313"
"SRs","13","47.1922","-122.8211"
"J","18C","48.711","-123.2655"
"J","07","48.6288","-123.1411"
"","18C","48.7399","-123.1448"
"","07","48.406","-122.8987"
"","07","48.3194","-122.8971"
"SRs","10","47.6849","-122.4389"
"SRs","10","47.7696","-122.4189"
"","18C","48.7453","-123.0889"
"JKL19","07","48.6893","-123.0823"
"","07","48.9269","-123.0964"
"SRs","07","48.6714","-122.6801"
"","07","48.4054","-122.8301"
"J","06","48.1484","-122.8966"
"","09","47.9391","-122.5492"
"","07","48.7254","-123.0196"
"JKL17L19","07","48.7099","-122.7554"
"","07","48.3627","-122.9634"
"","29C","49.0956","-123.3567"
"Lp?","06","48.4068","-122.6927"
"","07","48.8053","-122.8315"
"","07","48.7613","-122.7647"
"JKL","07","48.5834","-122.7582"
"JKL","07","48.4885","-122.7661"
"JKL","09","47.9811","-122.5625"
"JKL","10","47.7275","-122.4431"
"JKL","10","47.5925","-122.3481"
"JKL","11","47.5093","-122.4054"
"JKL","11","47.4177","-122.3619"
"JKL","13","47.2512","-122.5779"
"JKL","11","47.2995","-122.5334"
"JKL","13","47.308","-122.8179"
"JKL","06","48.1924","-123.1648"
"JKL","09","48.0971","-122.6379"
"JKL","06","48.2365","-122.7747"
"JKL6L19","07","48.4911","-122.9741"
"","18C","48.8395","-123.0297"
"","19C","48.4635","-123.1952"
"","29C","49.0537","-123.2262"
"","29C","49.0956","-123.2888"
"","29C","49.2729","-123.2873"
"SRs","11","47.4637","-122.4933"
"SRs","10","47.5483","-122.4917"
"SRs","07","48.3627","-123.0314"
"","19C","48.5098","-123.2562"
"Lp","19C","48.5606","-123.2902"
"JKL17L19","19C","48.6357","-123.2993"
"","07","48.7077","-123.2026"
"","19C","48.4089","-123.294"
"J","06","48.0443","-122.8689"
"SRs","81","48.2731","-122.5676"
"","17C","49.0068","-123.6289"
"SRs","07","48.7625","-122.8319"
"JKLp","19C","48.6089","-123.2403"
"","07","48.4127","-123.0982"
"SRs","17C","49.0532","-123.7084"
"","07","48.883","-123.0294"
"","29C","49.0114","-123.1627"
"SRs","11","47.4688","-122.3814"
"","20C","48.3567","-123.7289"
"","19C","48.4472","-123.2843"
"L","07","48.3191","-122.9634"
"SRs","19C","48.2766","-123.4316"
"SRs","10","47.7274","-122.388"
"","07","48.8826","-123.0966"
"SRs?","12","47.8088","-122.6847"
"SRs","09","48.0557","-122.634"
"SRs","81","48.1232","-122.5229"
"SRs","81","48.0614","-122.5212"
"SRs","81","48.2313","-122.6706"
"SRs","19C","48.3628","-123.4311"
"SRs","06","48.1858","-123.7662"
"","11","47.2865","-122.4311"
"","19C","48.5146","-123.3248"
"SRs","09","47.8542","-122.4517"
"SRs","13","47.2222","-122.9299"
"SRs","13","47.1431","-123.0024"
"","19C","48.4079","-123.39"
"SRs","07","48.6925","-123.1439"
"","18C","48.7958","-123.3604"
"SRs","81","48.4122","-122.5737"
"SRs","06","48.3646","-122.6964"
"SRs","20C","48.3153","-123.7002"
"L8s","19C","48.3186","-123.5011"
"SRs","07","48.5248","-122.6544"
"","17C","48.9674","-123.7316"
"","29C","49.1824","-123.2262"
"SRs","81","48.1862","-122.5531"
"SRs","20C","48.4088","-124.0984"
"","17C","49.1818","-123.88"
"L","20C","48.3625","-123.9645"
"SRs","20C","48.3526","-123.8284"
"SRs","06","48.3633","-122.7623"
"SRs","20C","48.3159","-123.6279"
"SRs","20C","48.3612","-123.8956"
"Lp","19C","48.412","-123.4553"
"J","18C","48.8064","-123.1105"
"KLp","19C","48.3626","-123.2316"
"Lp","20C","48.3972","-124.021"
"","19C","48.3185","-123.3651"
"SRs","29C","49.1381","-123.2227"
" ","07","50.55","-126.6866"
"SRs","06","48.2766","-122.9635"
"","19C","48.3186","-123.2314"
"","07","48.8405","-122.8967"
"","19C","48.3625","-123.2996"
"","07","48.3625","-123.0979"
"","06","48.2768","-122.8971"
"","06","48.2342","-123.097"
"","18C","48.7633","-123.0295"
"","07","48.3625","-123.1633"
" ","29C","49.3082","-123.5078"
"","19C","48.2346","-123.5011"
"","06","48.1918","-123.0961"
" ","07","50.9623","-127.7453"
"","20C","48.2768","-123.5676"
"","20C","48.3191","-123.7624"
"","20C","48.2773","-123.6972"
"","07","48.319","-123.0313"
"","19C","48.2768","-123.5011"
"","19C","48.2765","-123.3651"
"","19C","48.3185","-123.4314"
"","07","48.9273","-122.9627"
"","20C","48.2777","-123.7634"
"","20C","48.3202","-123.8948"
"","19C","48.2764","-123.2991"
"","20C","48.4073","-124.2302"
"","18C","48.9263","-123.2913"
"","18C","48.839","-123.0969"
"","05","48.2787","-123.9644"
" ","18C","48.7255","-123.2502"
" ","20C","48.2667","-123.6667"
"","06","48.2342","-123.2988"
" ","07","48.3667","-123.0667"
"","20C","48.2346","-123.5679"
" ","06","48.2167","-123.6667"
"","20C","48.4067","-124.1634"
"","20C","48.2784","-123.8952"
" ","07","48.3833","-123.0667"
" ","18C","48.7594","-123.0809"
" ","17C","49.305","-124.075"
"","20C","48.3207","-123.9642"
" ","07","50.6691","-126.9994"
" ","07","50.5925","-126.8185"
"","19C","48.5611","-123.3434"
"","07","48.2764","-123.0973"
"","06","48.2344","-123.0311"
"","06","48.2342","-123.1637"
"","07","48.9277","-122.897"
"","07","48.8056","-122.8964"
"","29C","49.3139","-123.4184"
"","18C","48.9686","-123.2906"
"","20C","48.3214","-124.0313"
"","20C","48.3221","-124.0976"
"","20C","48.3645","-124.0967"
"","06","48.2343","-123.3652"
"","06","48.1915","-123.3652"
"","06","48.1915","-123.4321"
"","06","48.1916","-123.5011"
" ","07","48.45","-123.4488"
" ","18C","48.8583","-123.3108"
" ","07","48.8022","-122.8062"
"","07","48.9702","-122.9627"
"","29C","49.0955","-123.2261"
" ","07","48.4631","-122.749"
" ","06","48.3575","-122.798"
" ","18C","48.7677","-123.0405"
" ","07","48.7169","-122.6721"
" ","07","48.4947","-123.1652"
" ","29C","49.065","-123.2129"
" ","18C","48.6893","-123.2415"
" ","07","48.4775","-123.0753"
"","06","48.2348","-122.8297"
" ","29C","49.0765","-123.2289"
" ","06","48.2946","-123.21"
" ","07","48.5503","-122.9732"
" ","07","48.5373","-123.1893"
" ","07","48.5445","-122.9832"
" ","07","48.6251","-123.2029"
" ","18C","48.7629","-123.3574"
" ","18C","48.7115","-123.2412"
" ","18C","48.7732","-123.3502"
" ","07","48.5442","-122.7534"
" ","07","48.4775","-123.1"
" ","09","48.0348","-122.6081"
" ","07","48.4721","-123.1035"
" ","07","48.5884","-123.206"
" ","07","48.5665","-123.2303"
" ","07","48.5449","-123.1661"
" ","07","48.4418","-123.0691"
" ","07","48.5287","-122.9569"
" ","07","48.6477","-123.1076"
" ","07","48.4636","-123.0902"
" ","07","48.4641","-123.0463"
" ","18C","48.7454","-123.1479"
" ","07","48.55","-123.1735"
" ","07","48.5549","-123.1779"
" ","07","48.5291","-123.1689"
" ","07","48.5416","-123.1715"
" ","06","48.2673","-122.8519"
" ","06","48.2303","-122.7814"
" ","81","48.3307","-122.4604"
" ","07","48.5834","-123.1994"
" ","07","48.5078","-123.1996"
"","18C","48.7836","-123.0342"
" ","18C","48.7416","-123.1076"
" ","18C","48.9333","-123.2333"
" ","07","48.9026","-122.9692"
" ","29C","49.0189","-123.2052"
" ","07","48.5281","-123.1808"
" ","07","48.5467","-123.1696"
" ","07","48.5436","-123.1672"
" ","07","48.4341","-122.9781"
" ","07","48.5403","-123.1747"
" ","18C","48.7562","-123.1132"
" ","18C","48.75","-123.125"
" ","07","48.5721","-123.206"
" ","07","48.4731","-123.0775"
" ","07","48.4572","-123.0366"
" ","07","48.4549","-123.0398"
" ","18C","48.6914","-123.2433"
" ","18C","48.6898","-123.2756"
" ","07","48.4885","-123.124"
" ","07","48.4907","-123.1362"
" ","07","48.4793","-123.0957"
" ","07","48.4803","-123.0824"
"","29C","49.0105","-123.29"
" ","07","48.9628","-123.2321"
" ","07","48.6688","-123.2247"
" ","18C","48.7258","-123.2721"
" ","07","48.5468","-123.1768"
" ","07","48.5446","-123.1768"
" ","07","48.5501","-123.1792"
" ","07","48.5546","-123.0058"
" ","18C","48.6998","-123.2562"
" ","20C","48.2819","-123.6525"
" ","18C","48.6904","-123.2481"
" ","07","48.4096","-122.9032"
" ","07","48.4266","-122.9345"
" ","07","48.4523","-123.0193"
" ","29C","48.883","-123.298"
" ","07","48.6164","-123.0742"
" ","07","48.471","-123.0777"
" ","07","48.5419","-123.1698"
" ","07","50.1244","-125.1959"
" ","07","48.4755","-123.0972"
" ","07","48.4809","-123.0716"
" ","07","48.4541","-123.0624"
" ","07","48.4924","-123.1317"
" ","07","48.4441","-123.0152"
" ","18C","48.7821","-123.2353"
" ","18C","48.8096","-123.1311"
" ","07","48.4609","-123.062"
" ","07","48.3602","-122.9589"
"","18C","48.7817","-123.0336"
" ","07","48.4998","-123.143"
" ","07","48.5458","-123.172"
"","18C","48.7815","-123.0374"
" ","07","48.4723","-123.0796"
" ","07","48.4825","-123.1082"
" ","29C","49.1","-123.3333"
" ","06","48.2121","-123.2982"
" ","20C","48.4002","-124.0364"
" ","18C","48.7866","-123.3344"
" ","18C","48.7265","-123.2797"
" ","18C","48.8579","-123.3088"
" ","07","48.5346","-123.1702"
" ","18C","48.6907","-123.2432"
" ","07","48.4277","-122.9812"
"","18C","48.783","-123.0339"
" ","07","48.4793","-123.1227"
" ","07","48.4648","-123.0915"
" ","20C","48.296","-123.6054"
" ","20C","48.3035","-123.5659"
" ","29C","48.868","-123.3067"
"","07","48.9267","-123.1622"
" ","07","48.4731","-123.1011"
" ","07","48.9638","-123.0584"
" ","07","48.4789","-123.0835"
" ","07","48.4695","-123.1263"
" ","07","48.4818","-123.1029"
" ","07","48.548","-123.169"
" ","20C","48.3474","-123.8009"
" ","07","48.5191","-123.154"
" ","07","48.5758","-123.1945"
" ","07","48.6854","-123.2535"
" ","29C","49.0955","-123.226"
" ","07","48.5476","-123.2157"
" ","07","48.6326","-123.2405"
" ","18C","48.7457","-123.3362"
" ","20C","48.3112","-123.6649"
" ","07","48.4969","-123.1654"
" ","20C","48.4091","-124.0547"
" ","07","48.4718","-123.1037"
" ","07","48.4728","-123.104"
" ","07","48.4362","-123.0384"
" ","07","48.4474","-123.0566"
" ","20C","48.3084","-123.6526"
" ","07","48.5676","-123.1833"
" ","07","48.7678","-123.3084"
" ","18C","48.7974","-123.3238"
" ","18C","48.858","-123.308"
" ","07","48.5121","-123.1793"
" ","07","48.4866","-123.1134"
" ","07","48.4635","-123.085"
" ","07","48.4714","-123.0994"
" ","18C","48.7424","-123.3"
" ","07","48.4416","-122.9903"
" ","07","48.4626","-123.1081"
" ","20C","48.3061","-123.6712"
" ","20C","48.3439","-123.7374"
" ","07","48.4853","-123.1116"
" ","20C","48.3081","-123.5341"
" ","07","48.4631","-123.106"
" ","18C","48.9361","-123.2902"
"","18C","48.7823","-123.0368"
" ","07","48.5005","-123.1482"
" ","07","48.3852","-123.0691"
" ","07","48.3829","-123.084"
" ","07","48.4899","-122.9581"
" ","20C","48.2809","-123.6344"
" ","20C","48.2894","-123.6453"
" ","07","48.4705","-123.083"
" ","07","48.4765","-123.0908"
" ","07","48.5346","-122.9552"
" ","07","48.4734","-124.3021"
" ","20C","48.3981","-124.0199"
" ","20C","48.413","-124.034"
" ","20C","48.3072","-123.6488"
" ","07","48.4313","-122.7879"
" ","07","48.9514","-123.2063"
" ","07","48.5031","-123.1459"
" ","07","48.5086","-122.96"
" ","07","48.481","-123.104"
" ","07","48.5247","-123.1773"
" ","07","48.464","-123.057"
" ","07","48.4808","-123.1298"
"","18C","48.78","-123.0394"
" ","18C","48.69","-123.2447"
" ","07","48.4768","-123.0677"
" ","07","48.4768","-123.0883"
" ","07","48.4643","-123.1205"
" ","07","48.4788","-123.1081"
" ","07","48.4991","-122.9841"
" ","07","48.5832","-122.6628"
" ","07","48.4389","-123.1024"
" ","07","48.4521","-123.0338"
" ","07","48.3674","-123.17"
" ","07","48.4606","-123.0498"
" ","07","48.4721","-123.0851"
" ","07","48.4537","-123.0332"
" ","07","48.4779","-123.1161"
" ","07","48.4866","-123.1183"
" ","07","48.468","-123.1002"
" ","07","48.4152","-122.9276"
" ","07","48.5232","-123.1839"
" ","20C","48.2877","-123.553"
"","07","48.8049","-122.7521"
" ","20C","48.3548","-123.8435"
" ","07","48.6716","-123.2385"
" ","07","48.4508","-123.051"
"","18C","48.78","-123.0387"
" ","07","48.3843","-123.0448"
" ","29C","48.8676","-123.3073"
" ","18C","48.6891","-123.245"
" ","20C","48.4031","-124.1263"
" ","07","48.583","-123.0419"
" ","07","48.5101","-123.1558"
" ","18C","48.7269","-123.1126"
" ","20C","48.2776","-123.6071"
" ","29C","49.242","-123.5585"
" ","20C","48.3293","-123.7461"
" ","18C","48.756","-123.3091"
" ","07","48.4415","-122.7498"
" ","07","48.5156","-123.1544"
" ","07","48.4953","-123.1395"
" ","07","48.349","-122.8103"
" ","06","48.2291","-123.1158"
" ","07","48.559","-122.7466"
" ","07","48.3601","-122.8155"
" ","07","48.3563","-122.8645"
" ","07","48.4498","-123.012"
" ","07","48.4333","-122.9147"
" ","07","48.4113","-123.0529"
" ","07","48.6408","-123.1594"
" ","07","48.4654","-123.0533"
" ","07","48.4113","-122.9173"
" ","07","48.4274","-123.0221"
" ","07","48.4433","-123.0305"
" ","20C","48.3677","-123.9178"
" ","07","48.4895","-122.972"
"","18C","48.7836","-123.0355"
" ","20C","48.2884","-123.5318"
"","06","48.2344","-123.4319"
"","06","48.2343","-123.2311"
" ","07","48.4528","-123.0291"
" ","29C","48.877","-123.274"
" ","07","49.6554","-126.4674"
" ","07","48.4823","-123.1045"
" ","07","48.4428","-123.0506"
" ","07","48.972","-123.094"
" ","07","48.633","-123.1254"
" ","07","48.6603","-123.2451"
" ","07","48.6537","-123.2599"
" ","18C","48.7225","-123.2613"
" ","07","48.5459","-123.1774"
" ","18C","48.8622","-123.3361"
" ","07","48.4851","-123.1132"
" ","07","48.5518","-123.1915"
" ","20C","48.3539","-123.8205"
" ","07","48.4695","-122.7841"
" ","20C","48.3083","-123.6611"
" ","20C","48.3128","-123.791"
" ","20C","48.4074","-124.0339"
" ","07","48.4869","-123.114"
" ","20C","48.266","-123.5446"
" ","07","48.4856","-123.1353"
" ","07","48.4077","-123.0517"
" ","07","48.4641","-123.0955"
" ","07","48.4529","-123.0444"
" ","07","48.4487","-122.9608"
" ","07","49.005","-123.118"
" ","07","48.4942","-123.1429"
" ","07","48.5678","-123.1884"
" ","07","48.6433","-123.205"
" ","07","48.415","-122.8916"
" ","07","48.428","-122.8921"
" ","07","48.5448","-123.1878"
" ","07","48.5243","-123.1666"
" ","07","48.5433","-123.175"
" ","07","48.5663","-122.77"
" ","07","48.4426","-122.7497"
" ","07","48.4745","-124.2872"
" ","07","48.3175","-123.1635"
" ","07","48.383","-122.8922"
" ","07","48.5013","-123.1423"
"","18C","48.7853","-123.0326"
" ","18C","48.717","-123.1436"
" ","07","48.4067","-122.8552"
" ","07","48.4149","-122.8279"
" ","20C","48.3015","-123.5485"
" ","07","48.4915","-123.1185"
" ","07","48.5016","-123.16"
" ","20C","48.2514","-123.6104"
" ","20C","48.3223","-123.703"
" ","20C","48.3088","-123.6481"
" ","20C","48.2932","-123.5624"
" ","07","48.5019","-122.7742"
" ","20C","48.364","-123.9395"
" ","07","48.6761","-122.7371"
" ","07","48.4352","-122.7493"
" ","06","48.2408","-123.659"
" ","20C","48.2921","-123.5397"
" ","07","48.4316","-122.9872"
" ","18C","48.6924","-123.2482"
" ","29C","49.1046","-123.314"
" ","07","48.4809","-123.1071"
" ","07","48.4353","-123.0909"
" ","07","48.5005","-123.1553"
" ","07","48.5494","-123.1927"
" ","07","48.4481","-123.0031"
" ","07","48.483","-123.1189"
"","18C","48.7774","-123.0422"
" ","07","48.4762","-123.1336"
" ","07","48.4731","-123.0857"
" ","07","48.4844","-123.1127"
" ","07","48.4649","-123.0665"
" ","07","48.4275","-122.9964"
" ","07","48.4751","-123.1021"
" ","07","48.446","-123.0249"
" ","07","48.3267","-122.9211"
" ","29C","48.8917","-123.2617"
" ","07","48.5682","-123.1941"
" ","06","48.2091","-123.076"
" ","07","48.5411","-123.1813"
" ","07","48.4808","-123.0929"
" ","18C","48.7621","-123.3453"
" ","07","48.4793","-123.0892"
" ","07","48.634","-123.2203"
" ","07","48.683","-123.2473"
" ","18C","48.7736","-123.0758"
" ","18C","48.7793","-123.0483"
" ","07","48.7847","-122.9851"
" ","18C","48.7978","-123.0507"
" ","18C","48.6973","-123.2734"
" ","18C","48.7267","-123.2787"
" ","07","48.4708","-123.0897"
" ","07","48.4838","-123.084"
" ","07","48.48","-123.1116"
" ","07","48.4385","-123.0098"
" ","07","48.5618","-122.9986"
" ","07","48.4557","-123.0219"
" ","07","48.4647","-122.7303"
" ","07","48.5566","-122.9917"
" ","07","48.6047","-122.7543"
" ","20C","48.3728","-123.9684"
" ","20C","48.2987","-123.6686"
" ","20C","48.3077","-123.6433"
" ","07","48.4055","-123.0019"
" ","07","48.4679","-123.1018"
" ","07","48.4514","-123.0157"
" ","07","48.5675","-123.2266"
" ","18C","48.7636","-123.0292"
" ","07","48.46","-123.1023"
" ","07","48.4878","-123.12"
" ","07","48.4919","-123.1295"
" ","07","48.4766","-123.0904"
" ","07","48.9687","-123.0248"
" ","07","48.5374","-123.2053"
" ","20C","48.3703","-123.9025"
" ","20C","48.3032","-123.6038"
" ","07","48.5057","-122.7418"
" ","07","48.4758","-123.091"
" ","07","48.5683","-123.1867"
" ","07","48.5367","-123.234"
" ","29C","49.1032","-123.2408"
" ","07","48.4533","-123.0998"
" ","07","48.3229","-123.1834"
" ","07","50.5689","-126.1938"
" ","07","48.6606","-123.2101"
" ","07","48.6837","-123.2394"
" ","07","48.4061","-123.0005"
" ","07","48.3896","-122.9933"
" ","07","48.5018","-123.1652"
" ","07","48.4528","-123.0409"
" ","07","48.4992","-123.1438"
" ","07","48.5142","-123.1793"
" ","06","48.2285","-123.3412"
" ","07","48.3831","-123.0815"
" ","07","48.704","-123.2953"
" ","18C","48.7009","-123.2655"
" ","07","48.38","-123.03"
" ","18C","48.7476","-123.0829"
" ","07","48.4521","-123.0466"
" ","07","48.4107","-123.0654"
"","17C","49.2732","-123.7483"
" ","18C","48.855","-123.3494"
" ","18C","48.7514","-123.3806"
" ","07","48.4642","-123.07"
" ","06","48.2977","-122.7608"
" ","07","48.4888","-123.1502"
" ","07","48.4567","-123.0456"
" ","07","49.6122","-126.5485"
" ","07","48.4411","-123.0082"
" ","07","48.5058","-122.9974"
" ","07","48.4549","-123.1138"
" ","07","48.9134","-123.147"
" ","07","48.4386","-123.1202"
" ","07","48.5426","-122.9687"
" ","18C","48.7453","-123.3046"
" ","81","48.4082","-122.6416"
" ","07","48.4561","-123.0581"
" ","07","48.4683","-123.065"
" ","07","48.4843","-123.0742"
" ","07","48.5373","-123.1704"
" ","07","48.4547","-123.0578"
" ","07","48.4829","-123.1062"
" ","07","48.4868","-123.1248"
" ","07","48.4796","-123.087"
" ","07","48.5828","-123.2126"
" ","18C","48.6951","-123.2565"
" ","07","48.5664","-123.1876"
" ","07","48.5474","-123.195"
" ","07","48.5496","-123.1721"
" ","07","48.518","-123.194"
" ","07","48.4974","-123.1419"
" ","07","48.4815","-123.0789"
" ","18C","48.698","-123.2532"
" ","18C","48.7211","-123.1711"
" ","07","48.4896","-123.108"
" ","18C","48.7953","-123.0329"
" ","18C","48.82","-123.0251"
" ","07","48.55","-123.2333"
" ","18C","48.7166","-123.2666"
" ","09","47.8547","-122.4267"
" ","07","48.4845","-123.1105"
" ","18C","48.8625","-123.3438"
" ","18C","48.8586","-123.3255"
" ","07","48.4058","-123.1073"
" ","07","48.4989","-123.2026"
" ","07","48.4769","-123.085"
" ","07","48.4862","-123.1953"
" ","20C","48.3084","-123.6549"
" ","29C","49.3251","-124.1593"
" ","07","48.5393","-123.1691"
" ","82","48.2097","-122.4142"
" ","82","47.9921","-122.3186"
" ","10","47.5514","-122.5142"
" ","07","48.4447","-123.0156"
" ","07","48.4741","-123.0951"
" ","07","48.5471","-123.1846"
" ","07","48.5487","-123.1673"
" ","20C","48.2663","-123.7501"
" ","20C","48.2957","-123.5881"
" ","07","48.4357","-122.9984"
" ","07","49.5259","-124.7289"
" ","07","48.5491","-122.9836"
" ","07","48.5451","-123.1724"
" ","07","49.8677","-125.0619"
" ","81","48.2572","-122.5653"
" ","82","47.9548","-122.2989"
" ","11","47.4579","-122.5154"
" ","09","48.0745","-122.6223"
" ","11","47.39","-122.3455"
" ","10","47.6206","-122.4665"
" ","11","47.3218","-122.5093"
" ","10","47.6564","-122.4686"
" ","07","48.5448","-123.1858"
" ","07","48.505","-123.147"
" ","10","47.5945","-122.4247"
" ","81","48.165","-122.558"
" ","07","49.631","-126.4964"
" ","07","49.6503","-126.5965"
" ","07","49.5997","-126.5735"
" ","17C","49.1802","-123.8863"
" ","07","48.5059","-126.1558"
" ","07","48.4925","-123.1839"
" ","07","48.5105","-123.149"
" ","07","48.4942","-123.1498"
" ","18C","48.7863","-123.0343"
" ","18C","48.7304","-123.1665"
" ","07","48.5885","-123.2112"
" ","07","48.5415","-123.166"
" ","07","49.6379","-126.4529"
" ","07","48.5689","-123.2212"
" ","18C","48.6906","-123.2424"
" ","02","46.9448","-124.2828"
" ","18C","48.778","-123.0338"
" ","07","48.5465","-123.1759"
" ","07","48.519","-123.158"
" ","18C","48.7689","-123.0385"
" ","07","48.4957","-123.1387"
" ","18C","48.7385","-123.1422"
" ","17C","49.2086","-123.9565"
" ","07","48.4708","-123.0793"
" ","07","48.4772","-123.0951"
" ","07","48.4505","-123.0312"
" ","07","48.4455","-123.0435"
" ","07","48.5059","-123.1484"
" ","07","48.411","-122.8759"
" ","18C","48.7197","-123.1418"
" ","07","48.5834","-123.1897"
" ","07","48.5147","-123.1553"
" ","07","48.6879","-123.2477"
" ","07","48.5885","-123.1892"
" ","18C","48.7757","-123.0471"
" ","07","48.581","-123.1943"
" ","07","48.4196","-122.795"
" ","07","48.491","-123.123"
" ","07","48.4508","-122.9939"
" ","07","48.7877","-123.0491"
" ","82","48.1","-122.4919"
" ","07","48.5379","-123.2034"
" ","07","48.4794","-123.1389"
" ","29C","49.016","-123.1884"
" ","17C","49.2188","-123.8457"
" ","07","48.5647","-123.1786"
" ","07","48.4068","-122.8964"
" ","07","48.4141","-122.8762"
" ","07","48.4264","-122.7803"
" ","18C","48.8059","-123.0422"
" ","07","48.5864","-123.2027"
" ","07","48.757","-125.641"
" ","18C","48.7818","-123.0397"
" ","18C","48.7532","-123.0768"
" ","07","48.6263","-123.119"
" ","18C","48.7826","-123.0401"
" ","07","48.8903","-122.8088"
" ","07","48.5847","-122.747"
" ","07","48.4864","-123.1108"
" ","07","48.4283","-122.7711"
" ","07","48.4758","-123.1352"
" ","07","48.4797","-122.9868"
" ","18C","48.7761","-123.3426"
" ","07","48.9541","-123.1131"
" ","07","48.4832","-122.7149"
" ","07","48.5785","-122.7587"
" ","07","48.429","-122.9846"
" ","07","48.5307","-123.1731"
" ","07","48.5321","-123.1696"
" ","18C","48.6913","-123.2405"
" ","18C","48.7723","-123.0412"
" ","07","48.5438","-123.1853"
" ","06","48.4169","-122.7176"
" ","07","48.4004","-122.8143"
" ","07","48.9615","-123.0859"
" ","07","48.4308","-122.9771"
" ","07","48.9671","-123.1034"
" ","20C","48.3058","-123.6776"
" ","07","48.9526","-123.1157"
" ","20C","48.3014","-123.6497"
" ","07","48.6428","-123.2208"
" ","07","48.4327","-122.979"
" ","07","48.545","-123.1687"
" ","07","48.4706","-124.6031"
" ","07","48.5056","-123.1564"
" ","07","48.5122","-123.1641"
" ","18C","48.7941","-123.2376"
" ","18C","48.8577","-123.3156"
" ","07","48.442","-122.9563"
" ","07","48.5126","-123.2092"
" ","07","48.7008","-125.4281"
" ","07","54.0011","-130.6842"
" ","07","48.549","-123.1777"
" ","07","48.9978","-123.1143"
" ","20C","48.3473","-123.8084"
" ","07","48.5746","-123.2055"
" ","07","48.6823","-123.2539"
" ","18C","48.7825","-123.0449"
" ","07","48.5982","-122.7559"
" ","07","48.497","-122.9865"
" ","07","48.5125","-123.1782"
" ","07","48.6521","-122.6785"
" ","20C","48.3431","-123.8078"
" ","81","48.3115","-122.4516"
" ","07","48.5213","-123.1725"
" ","07","48.4809","-123.0997"
" ","18C","48.7438","-123.0187"
" ","20C","48.3688","-123.9261"
" ","07","48.308","-123.099"
" ","07","48.5082","-122.7457"
" ","07","48.4754","-123.0717"
" ","07","48.4843","-123.0692"
" ","07","48.5064","-122.7418"
" ","07","48.5106","-123.2068"
" ","07","48.6713","-123.2358"
" ","07","48.4941","-122.9549"
" ","18C","48.7942","-123.0406"
" ","18C","48.7881","-123.0225"
" ","07","48.4936","-123.197"
" ","07","48.5417","-122.9983"
" ","07","48.665","-123.2341"
" ","07","48.4896","-123.1212"
" ","07","48.9697","-123.085"
" ","07","48.5251","-122.6194"
" ","07","48.4565","-123.0294"
" ","07","48.5845","-123.2013"
" ","07","48.5078","-123.1605"
" ","07","48.5684","-123.2288"
" ","07","48.6192","-123.1976"
" ","20C","48.3005","-123.5583"
" ","07","48.4224","-122.9122"
" ","07","48.9825","-123.1255"
" ","29C","49.0921","-123.2139"
" ","18C","48.764","-123.0112"
" ","07","48.9632","-123.0276"
" ","20C","48.302","-123.5337"
" ","18C","48.8109","-123.003"
" ","07","48.4072","-122.7485"
" ","07","48.9629","-123.0582"
" ","07","48.5013","-123.1492"
" ","07","48.9647","-123.0575"
" ","18C","48.8598","-123.3031"
" ","20C","48.3009","-123.6542"
" ","07","48.5699","-123.1936"
" ","18C","48.7788","-123.0223"
" ","07","48.4419","-122.973"
" ","07","48.5769","-122.7541"
" ","07","48.6811","-123.2415"
" ","18C","48.7655","-123.088"
" ","20C","48.3623","-123.871"
" ","18C","48.7721","-123.0358"
" ","07","48.4436","-122.9896"
" ","07","48.4724","-123.0816"
" ","18C","48.6913","-123.2497"
