"","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"8",0.949609237966202,0.496226039387671,0.494331165935363,0.825063465559722,0.787117309345112,0.480086898076389,0.481194910895521,0.443612713726835,0.503768441900946,0.357098808883591,0.474915235604341,0.886255754965616,0.354624348623161,0.483442357895323,0.394371297306831,0.488147561473982,0.307004156833476,0.211803288372804,0.433274025044627,0.156380617124408,0.101105940480194,0.0760277792513303,0.333084204463125,0.15182722865635,0.241120801510038,0.239141390119471,0.300355724103293,0.323389853147603,0.343781828481166,0.494745835952018,0.280069371404428,0.609529881809163,0.979743925738735,0.98972610495516,0.83642005805486,0.907926866629756,0.148051878383566,0.385009602013068,0.685720649834827,0.807573524691561
"9",0.931800259801179,0.493163167531276,0.501987846640215,0.487953516485385,0.844599575248308,0.50243558954459,0.488024199738422,0.188338348179566,0.469982087271422,0.368178745519007,0.484001301428926,0.916815976070207,0.642458547453138,0.203716845907168,0.531737545008175,0.304405180195067,0.199069328983408,0.32969174783498,0.492225964576461,0.656181501512043,0.425333892179972,0.539571962074418,0.500613630789244,0.263511093096253,0.273265838961768,0.33201732111651,0.412537084049995,0.581972711939847,0.185314638890119,0.773234997085138,0.530180133577287,0.663499890649593,0.965584940598489,0.945672011600609,0.737117458625593,0.857904209039208,0.37550027192746,0.141092882492547,0.844649622679057,0.87940766178113
"10",0.919772176800117,0.482384482991133,0.49060770603594,0.484175348128144,0.729549701619345,0.500134170154195,0.475117324961135,0.793121740039969,0.466860897603713,0.55349527879055,0.645486845412206,0.897264954059335,0.609377265406823,0.611401679714281,0.650055643129688,0.500342541517983,0.198166662825359,0.411103319006479,0.491850584248016,0.3411683682716,0.613108207107878,0.351000364928247,0.759367566413875,0.264181192711457,0.134980059412928,0.206168725786479,0.346441256200197,0.590141786369478,0.142491293113408,0.788590877130819,0.466451038530795,0.679886454497706,0.963845553792794,0.930847699142132,0.769225530737059,0.824235954091614,0.224479972393014,0.450612295267001,0.929300410746164,0.819828319030129
"11",0.49743206446442,0.49429492315817,0.495481435624482,0.493765061498703,0.502990715312126,0.495099942030692,0.497837628413902,0.503777802493178,0.49772409498953,0.494412607700817,0.498145072171634,0.497939341529693,0.495272615859205,0.492095322606969,0.504714223934701,0.500707810821717,0.50580270175476,0.503447558971106,0.499415441019666,0.499235049378359,0.499021093444102,0.49803533668884,0.506562387786835,0.500764162940469,0.29229643666258,0.510091817995724,0.505130855689077,0.465721080372943,0.447867189529811,0.485148359320315,0.518939609111444,0.502748056097019,0.498041918097661,0.503168626105991,0.496273168298645,0.504581097877678,0.501508716946149,0.49532372351777,0.505534519932218,0.501613721266575
"12",0.941744713903496,0.502730213486974,0.506339590922364,0.49440395778185,0.500328001360387,0.492671847607792,0.500318603445039,0.506719306371145,0.508689108658887,0.506400980204706,0.49684104854757,0.502548120231309,0.490531169035131,0.506091762112651,0.494243654353023,0.503361054371963,0.502607477335377,0.498235546228594,0.496010392308398,0.662669886758795,0.513220966649938,0.505786632085612,0.485357754542459,0.147050270324368,0.100784863646697,0.672931264499496,0.486734291174346,0.356509700927258,0.247097735876435,0.496719341273982,0.404780875113613,0.317819059068956,0.671977401683224,0.368541923146909,0.496178399023115,0.0858926798155801,0.0547483803295948,0.812212926240342,0.380077420356498,0.500796879452698
"19",0.510034875660255,0.497464914254274,0.494972604009488,0.501863474464627,0.504610940719226,0.489320289212875,0.490598946860833,0.48998297826962,0.493469904200235,0.464221479778421,0.484332216268523,0.665772706309788,0.503680082490509,0.498599550314163,0.501635116616245,0.502218008146053,0.498191194599124,0.506458133295592,0.499000347445895,0.504952688950863,0.499554072440886,0.498702385235998,0.504842838710053,0.353526968931012,0.095492498941295,0.47300617065124,0.219715906967055,0.247990447852168,0.359204828481103,0.506605913845283,0.502111880519972,0.507184186198811,0.500567514609489,0.822151123153841,0.495309578630873,0.073561728552465,0.0428741843348953,0.418094737906907,0.264135194483668,0.657620513952389
"20",0.49905514110599,0.499034021335741,0.493602207728388,0.474780601010232,0.480496233543256,0.491266018812513,0.497016420627179,0.496528342768854,0.5014161758639,0.493112589608966,0.506884770925017,0.693702011911742,0.501351143376397,0.505739446571343,0.500352748913323,0.491155779479906,0.503509278615344,0.509648967194249,0.493112184455931,0.498798277568469,0.494401482706289,0.500222802212386,0.502205021151287,0.2172496613939,0.0796193898425642,0.649053762959408,0.16879843802728,0.607956237198754,0.342219993378117,0.503935368063256,0.496610927798092,0.491514545196838,0.501110661420505,0.897551935565666,0.908224679442711,0.541000585079957,0.167223746857724,0.25454897027646,0.620598373474428,0.849301949045162
