"pod","region","season","phase","slope.mn","slope.lci","slope.uci","2.5%","97.5%"
"L","ps","1","peak","1.07","0.71","1.43","0.41","1.65"
"L","ps","1","first","1.34","0.63","2.03","-0.04","2.38"
"L","ps","1","last","1.53","0.67","2.35","-0.08","2.81"
"L","ps","1","peak.20012016","-0.47","-1.42","0.57","-2.21","1.58"
"L","ps","1","first.20012016","1.21","-0.32","2.85","-1.35","3.92"
"L","ps","1","last.20012016","-1.48","-2.18","-0.78","-2.59","-0.25"
