"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"L","uss","2","1978","213","207","217","185","184","190","302","303","303","0.23"
"L","uss","2","1979","204","197","207","181","177","188","269","225","303","0.17"
"L","uss","2","1980","253","224","278","207","184","223","291","285","303","0.2"
"L","uss","2","1981","246","228","262","168","150","196","283","277","289","0.28"
"L","uss","2","1982","230","225","237","206","197","216","251","244","255","0.13"
"L","uss","2","1983","242","227","259","174","169","179","280","275","284","0.27"
"L","uss","2","1984","216","202","216","178","176","184","290","284","303","0.25"
"L","uss","2","1985","218","211","227","181","177","189","256","241","257","0.19"
"L","uss","2","1986","250","245","265","199","171","230","279","268","298","0.21"
"L","uss","2","1987","220","201","238","180","169","188","261","247","274","0.2"
"L","uss","2","1988","220","195","238","162","160","172","299","303","303","0.32"
"L","uss","2","1989","197","186","214","167","145","188","230","217","237","0.18"
"L","uss","2","1990","197","184","205","143","137","154","285","275","303","0.37"
"L","uss","2","1991","202","198","206","177","172","182","226","219","230","0.17"
"L","uss","2","1992","253","236","271","161","159","170","300","303","303","0.56"
"L","uss","2","1993","227","214","238","159","157","162","290","277","303","0.55"
"L","uss","2","1994","219","202","236","150","148","153","285","274","303","0.45"
"L","uss","2","1995","183","176","186","146","144","150","261","248","269","0.36"
"L","uss","2","1996","233","223","242","180","176","184","282","273","290","0.35"
"L","uss","2","1997","185","176","190","148","146","150","288","275","303","0.47"
"L","uss","2","1998","236","230","245","147","145","149","288","283","291","0.59"
"L","uss","2","1999","261","248","275","168","167","171","303","303","303","0.57"
"L","uss","2","2000","222","198","250","156","154","158","291","284","300","0.51"
"L","uss","2","2001","234","214","252","147","145","149","302","303","303","0.68"
"L","uss","2","2002","238","227","248","132","129","136","298","294","303","0.72"
"L","uss","2","2003","227","199","254","150","148","152","302","303","303","0.66"
"L","uss","2","2004","270","256","285","152","149","157","303","303","303","0.66"
"L","uss","2","2005","266","251","281","141","139","144","303","303","303","0.63"
"L","uss","2","2006","243","238","249","141","137","148","288","284","291","0.54"
"L","uss","2","2007","266","263","287","155","153","157","303","303","303","0.56"
"L","uss","2","2008","227","207","247","157","155","159","303","303","303","0.64"
"L","uss","2","2009","242","227","257","145","143","150","303","303","303","0.67"
"L","uss","2","2010","255","233","276","128","125","134","303","303","303","0.75"
"L","uss","2","2011","220","203","231","113","92","139","291","288","293","0.62"
"L","uss","2","2012","221","193","271","134","128","144","303","303","303","0.62"
"L","uss","2","2013","216","208","224","148","147","150","294","291","297","0.66"
"L","uss","2","2014","191","185","195","152","150","156","303","303","303","0.51"
"L","uss","2","2015","271","260","286","121","108","136","303","303","303","0.75"
"L","uss","2","2016","229","213","244","158","153","162","300","298","303","0.45"
"L","uss","2","2017","244","233","255","160","152","167","302","303","303","0.49"
