"sp","site","mn.total.runsize","first.int","first.intlci","first.intuci","first.yr","first.yrlci","first.yruci","last.int","last.intlci","last.intuci","last.yr","last.yrlci","last.yruci","mid.int","mid.intlci","mid.intuci","mid.yr","mid.yrlci","mid.yruci","pk.int","pk.intlci","pk.intuci","pk.yr","pk.yrlci","pk.yruci","lat","lon"
"CH","LK ABERDEEN HATCHERY","83.8235294117647","-997.912","-3744.11","1748.286","0.645","-0.722","2.013","-1048.382","-3704.918","1608.154","0.685","-0.638","2.008","233.714","-913.997","1381.424","0.039","-0.532","0.611","248.112","-835.002","1331.226","0.033","-0.507","0.572",46.9802,-123.7429
"CH","MINTER CR HATCHERY","29576.2272727273","1978.038","-1986.194","5942.27","-0.847","-2.822","1.128","2590.339","1644.458","3536.219","-1.114","-1.585","-0.643","931.046","-165.787","2027.88","-0.3","-0.846","0.247","1023.917","9.816","2038.018","-0.344","-0.849","0.161",47.3726,-122.7026
"CH","COWLITZ TROUT HATCHERY","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4875,-122.7229
"CH","GEORGE ADAMS HATCHERY","16387.4545454545","1124.589","407.4","1841.779","-0.409","-0.767","-0.052","810.539","-75.43","1696.508","-0.238","-0.679","0.204","487.67","-412.085","1387.426","-0.084","-0.532","0.364","-47.545","-1020.574","925.483","0.182","-0.303","0.667",47.3013,-123.1818
"CH","NASELLE HATCHERY","406.846153846154","2876.473","-1488.829","7241.775","-1.288","-3.461","0.884","-1653.442","-4661.665","1354.78","0.984","-0.513","2.482","415.065","-635.761","1465.89","-0.055","-0.578","0.469","382.483","-960.005","1724.971","-0.037","-0.705","0.631",46.3722,-123.7531
"CH","SAMISH HATCHERY","96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5649,-122.3315
"CH","COWLITZ SALMON HATCHERY","8.57142857142857","2023.318","-2875.077","6921.714","-0.896","-3.336","1.544","1109.873","-3209.131","5428.877","-0.399","-2.551","1.752","5150.037","-1385.023","11685.098","-2.43","-5.685","0.824","6300.657","801.12","11800.194","-3.013","-5.752","-0.274",46.5113,-122.6293
"CH","MCKERNAN HATCHERY","33972.1363636364","1533.488","1038.492","2028.484","-0.612","-0.858","-0.365","261.729","-538.13","1061.588","0.037","-0.362","0.435","662.593","-468.612","1793.799","-0.172","-0.736","0.391","1173.232","113.404","2233.06","-0.426","-0.954","0.102",47.3066,-123.203
"CH","LEWIS RIVER HATCHERY","1.16666666666667","7736.981","1877.954","13596.009","-3.713","-6.632","-0.795","7927.186","252.257","15602.114","-3.807","-7.63","0.016","7927.186","252.257","15602.114","-3.807","-7.63","0.016","7736.981","1877.954","13596.009","-3.713","-6.632","-0.795",45.937,-122.6165
"CH","ISSAQUAH HATCHERY","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5295,-122.0386
