"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"L","ps","1","peak","-1.24","-1.88","-0.62"
"L","ps","1","first","-1.61","-2.46","-0.81"
"L","ps","1","last","-0.29","-1.1","0.48"
