"","x"
"sp","ck"
"site","albion"
"mn.cpue","0.3384"
"mn.total","1816.8"
"meanfirst.int","101.853"
"first.intlci","-32.965"
"first.intuci","236.671"
"first.yr","0.071"
"first.yrlci","0.004"
"first.yruci","0.138"
"last.int","530.541"
"last.intlci","217.388"
"last.intuci","843.695"
"last.yr","-0.119"
"last.yrlci","-0.275"
"last.yruci","0.037"
"mid.int","-98.043"
"mid.intlci","-734.744"
"mid.intuci","538.658"
"mid.yr","0.179"
"mid.yrlci","-0.138"
"mid.yruci","0.495"
"pk.int","293.421"
"pk.intlci","-968.763"
"pk.intuci","1555.605"
"pk.yr","-0.018"
"pk.yrlci","-0.646"
"pk.yruci","0.611"
