"pod","region","season","phase","slope.mn","slope.lci","slope.uci","2.5%","97.5%"
"K","uss","2","peak","0.97","0.68","1.26","0.06","1.84"
"K","uss","2","first","-0.35","-0.61","-0.1","-1.09","0.41"
"K","uss","2","last","0.68","0.45","0.88","0.12","1.38"
"K","uss","2","peak.20012016","1.37","0.51","2.26","-1.21","3.83"
"K","uss","2","first.20012016","0.85","0.34","1.6","-0.83","2.67"
"K","uss","2","last.20012016","-0.83","-1.45","-0.27","-1.92","1.24"
