"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"J","ps","1","1978","213","205","219","213","195","214","234","211","231","0.06"
"J","ps","1","1979","272","243","300","264","183","359","280","192","366","0.01"
"J","ps","1","1980","270","234","305","229","183","354","247","192","366","0.01"
"J","ps","1","1981","240","226","253","240","208","314","258","227","366","0.03"
"J","ps","1","1982","288","270","309","267","254","284","307","288","324","0.16"
"J","ps","1","1983","265","229","299","274","183","355","307","191","366","0.02"
"J","ps","1","1984","263","235","289","258","183","348","309","239","366","0.04"
"J","ps","1","1985","208","189","231","183","183","183","252","207","295","0.31"
"J","ps","1","1986","281","246","316","229","183","298","266","196","366","0.05"
"J","ps","1","1987","339","327","353","314","299","335","363","354","366","0.24"
"J","ps","1","1988","323","299","351","275","252","305","361","351","366","0.43"
"J","ps","1","1989","279","267","294","260","249","272","299","284","315","0.17"
"J","ps","1","1990","245","214","266","201","183","242","265","253","273","0.25"
"J","ps","1","1991","271","257","285","248","224","270","291","279","304","0.17"
"J","ps","1","1992","299","280","319","270","241","295","330","308","366","0.28"
"J","ps","1","1993","332","281","359","249","183","342","365","366","366","0.33"
"J","ps","1","1994","312","252","355","218","183","289","366","366","366","0.69"
"J","ps","1","1995","308","244","353","194","183","234","366","366","366","0.92"
"J","ps","1","1996","277","229","321","212","183","273","333","270","366","0.48"
"J","ps","1","1997","220","193","256","185","183","183","365","366","366","0.77"
"J","ps","1","1998","312","274","349","214","183","269","365","366","366","0.79"
"J","ps","1","1999","299","253","344","214","183","273","362","348","366","0.76"
"J","ps","1","2000","275","229","307","208","183","259","349","338","366","0.7"
"J","ps","1","2001","271","212","314","210","183","264","334","321","350","0.59"
"J","ps","1","2002","253","207","290","191","183","217","355","321","366","0.83"
"J","ps","1","2003","317","296","340","255","234","277","362","353","366","0.53"
"J","ps","1","2004","276","234","330","218","183","259","353","340","365","0.56"
"J","ps","1","2005","332","320","353","265","183","298","365","363","366","0.43"
"J","ps","1","2006","295","284","307","269","257","282","322","308","333","0.25"
"J","ps","1","2007","298","289","309","255","245","267","336","331","342","0.43"
"J","ps","1","2008","299","218","356","229","183","282","366","366","366","0.58"
"J","ps","1","2009","289","193","351","193","183","183","360","346","366","0.36"
"J","ps","1","2010","284","262","323","229","183","262","354","328","366","0.55"
"J","ps","1","2011","299","244","347","242","206","272","364","357","366","0.56"
"J","ps","1","2012","320","313","327","291","284","299","342","338","347","0.24"
"J","ps","1","2013","291","275","302","262","249","281","365","366","366","0.32"
"J","ps","1","2014","318","308","334","277","239","304","358","343","366","0.3"
"J","ps","1","2015","279","200","318","212","183","302","300","211","361","0.25"
"J","ps","1","2016","295","289","302","271","266","277","332","319","345","0.28"
"J","ps","1","2017","285","276","293","257","252","267","335","308","352","0.3"
