"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl"
"J","uss","3","1978","176","163","194","45","1","138","269","216","356"
"J","uss","3","1979","247","135","331","15","1","94","352","321","366"
"J","uss","3","1980","155","128","206","10","1","25","244","209","271"
"J","uss","3","1981","174","145","197","113","101","126","357","343","366"
"J","uss","3","1982","164","153","174","59","1","137","223","189","282"
"J","uss","3","1983","196","181","210","94","1","173","251","218","366"
"J","uss","3","1984","218","172","272","181","152","245","254","188","295"
"J","uss","3","1985","222","171","258","98","1","209","272","235","366"
"J","uss","3","1986","179","64","248","89","1","200","233","180","267"
"J","uss","3","1987","188","167","212","143","136","150","274","239","336"
"J","uss","3","1988","176","129","327","79","45","104","343","275","366"
"J","uss","3","1989","187","113","330","76","48","101","343","264","366"
"J","uss","3","1990","111","35","165","15","1","61","263","251","272"
"J","uss","3","1991","193","128","259","49","1","157","306","208","366"
"J","uss","3","1992","295","246","346","199","1","264","356","337","366"
"J","uss","3","1993","82","14","294","1","1","1","365","366","366"
"J","uss","3","1994","156","70","337","28","1","71","351","298","366"
"J","uss","3","1995","96","21","338","1","1","1","363","366","366"
"J","uss","3","1996","134","90","149","16","1","49","356","342","366"
"J","uss","3","1997","56","15","84","1","1","1","355","329","366"
"J","uss","3","1998","272","208","330","41","1","68","360","343","366"
"J","uss","3","1999","200","143","251","85","1","107","335","281","366"
"J","uss","3","2000","102","62","130","13","1","48","308","219","366"
"J","uss","3","2001","104","40","167","4","1","11","318","291","345"
"J","uss","3","2002","161","135","188","42","26","61","323","293","362"
"J","uss","3","2003","116","89","146","28","21","37","345","325","366"
"J","uss","3","2004","183","147","216","26","1","55","328","316","341"
"J","uss","3","2005","242","182","290","36","1","70","352","336","366"
"J","uss","3","2006","207","164","249","5","1","3","330","321","339"
"J","uss","3","2007","218","110","283","23","1","44","347","332","366"
"J","uss","3","2008","140","98","178","21","1","43","343","298","366"
"J","uss","3","2009","207","88","255","20","1","45","338","313","366"
"J","uss","3","2010","211","197","216","1","1","1","366","366","366"
"J","uss","3","2011","215","193","242","1","1","1","362","350","366"
"J","uss","3","2012","191","175","204","28","1","70","361","350","366"
"J","uss","3","2013","229","64","276","2","1","1","338","299","366"
"J","uss","3","2014","220","200","239","1","1","1","365","366","366"
"J","uss","3","2015","213","197","232","1","1","1","361","345","366"
"J","uss","3","2016","110","19","259","1","1","1","365","365","366"
"J","uss","3","2017","221","62","320","17","5","27","357","349","366"
