"pod","region","season","phase","slope.mn","slope.lci","slope.uci","2.5%","97.5%"
"L","uss","2","peak","0.23","-0.04","0.5","-0.55","1.01"
"L","uss","2","first","-1.79","-2.08","-1.51","-2.62","-0.9"
"L","uss","2","last","1.07","0.83","1.29","0.45","1.78"
"L","uss","2","peak.20012016","-1.12","-2.07","-0.13","-4.02","1.65"
"L","uss","2","first.20012016","0.54","0.23","0.87","-0.48","1.47"
"L","uss","2","last.20012016","-0.19","-0.4","0.03","-0.86","0.36"
