"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"J","uss","2","1978","179","166","193","105","92","127","302","303","303","0.47"
"J","uss","2","1979","148","101","282","92","92","92","303","303","303","0.68"
"J","uss","2","1980","159","138","184","95","92","103","292","277","303","0.53"
"J","uss","2","1981","156","143","168","96","92","105","301","297","303","0.59"
"J","uss","2","1982","163","155","170","111","92","127","266","250","303","0.4"
"J","uss","2","1983","197","186","208","106","92","124","279","268","294","0.4"
"J","uss","2","1984","211","174","269","151","142","160","295","285","303","0.32"
"J","uss","2","1985","217","125","268","96","92","107","296","278","303","0.51"
"J","uss","2","1986","208","151","253","119","103","131","274","264","285","0.36"
"J","uss","2","1987","188","163","218","125","118","133","288","277","303","0.47"
"J","uss","2","1988","143","123","157","93","92","97","302","303","303","0.66"
"J","uss","2","1989","159","118","232","93","92","97","275","264","286","0.55"
"J","uss","2","1990","119","101","141","92","92","92","276","268","284","0.74"
"J","uss","2","1991","165","123","193","106","92","131","233","223","242","0.54"
"J","uss","2","1992","267","246","291","195","92","231","300","298","303","0.34"
"J","uss","2","1993","261","240","292","92","92","92","302","303","303","0.71"
"J","uss","2","1994","134","123","139","96","92","102","295","280","303","0.62"
"J","uss","2","1995","150","103","269","92","92","92","302","303","303","0.74"
"J","uss","2","1996","113","100","128","92","92","92","282","268","303","0.64"
"J","uss","2","1997","112","102","124","92","92","92","303","303","303","0.7"
"J","uss","2","1998","242","124","286","92","92","92","302","303","303","0.88"
"J","uss","2","1999","177","130","239","95","92","100","281","273","290","0.78"
"J","uss","2","2000","116","101","132","92","92","92","299","288","303","0.72"
"J","uss","2","2001","120","102","133","92","92","92","295","288","303","0.85"
"J","uss","2","2002","141","110","174","92","92","92","299","292","303","0.91"
"J","uss","2","2003","131","106","153","92","92","92","303","303","303","0.92"
"J","uss","2","2004","155","109","199","92","92","92","303","303","303","0.97"
"J","uss","2","2005","278","279","298","92","92","92","303","303","303","0.99"
"J","uss","2","2006","186","126","252","95","92","102","302","301","303","0.94"
"J","uss","2","2007","221","113","292","92","92","92","303","303","303","0.98"
"J","uss","2","2008","117","98","140","92","92","92","294","290","299","0.89"
"J","uss","2","2009","241","235","261","94","92","97","298","294","302","0.85"
"J","uss","2","2010","202","186","217","113","92","126","303","303","303","0.78"
"J","uss","2","2011","213","185","249","95","92","103","303","303","303","0.85"
"J","uss","2","2012","186","174","197","96","92","103","303","303","303","0.78"
"J","uss","2","2013","235","137","290","107","92","120","303","303","303","0.64"
"J","uss","2","2014","234","203","270","127","120","134","303","303","303","0.8"
"J","uss","2","2015","216","200","233","92","92","92","302","302","303","0.86"
"J","uss","2","2016","231","212","256","92","92","92","303","303","303","0.72"
"J","uss","2","2017","247","104","298","92","92","92","303","303","303","0.63"
