"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"K","uss","2","1978","211","204","221","192","188","201","300","303","303","0.2"
"K","uss","2","1979","190","186","193","178","174","184","298","303","303","0.21"
"K","uss","2","1980","213","206","219","201","183","209","265","221","303","0.19"
"K","uss","2","1981","215","204","253","162","92","208","233","217","262","0.25"
"K","uss","2","1982","240","235","251","233","227","245","252","243","263","0.13"
"K","uss","2","1983","199","194","208","146","92","178","238","221","265","0.32"
"K","uss","2","1984","211","181","286","166","164","172","298","299","303","0.36"
"K","uss","2","1985","181","174","189","156","155","161","268","233","303","0.37"
"K","uss","2","1986","170","163","175","149","148","153","275","258","303","0.39"
"K","uss","2","1987","191","178","204","155","155","159","294","287","303","0.52"
"K","uss","2","1988","179","173","183","155","155","158","301","303","303","0.46"
"K","uss","2","1989","175","164","183","150","147","156","256","208","303","0.33"
"K","uss","2","1990","195","186","199","154","124","172","269","265","279","0.41"
"K","uss","2","1991","179","172","189","129","129","143","238","216","303","0.51"
"K","uss","2","1992","249","240","281","179","140","236","288","274","303","0.44"
"K","uss","2","1993","249","242","282","121","92","205","292","278","303","0.56"
"K","uss","2","1994","180","175","186","157","155","161","240","206","303","0.32"
"K","uss","2","1995","209","158","243","140","138","143","262","259","268","0.47"
"K","uss","2","1996","173","170","179","152","151","155","262","253","303","0.39"
"K","uss","2","1997","190","153","291","135","134","138","303","303","303","0.64"
"K","uss","2","1998","251","252","282","149","147","151","296","287","303","0.61"
"K","uss","2","1999","231","223","247","168","166","171","271","266","279","0.43"
"K","uss","2","2000","184","180","189","166","164","169","248","218","279","0.3"
"K","uss","2","2001","187","162","226","138","137","141","290","283","303","0.65"
"K","uss","2","2002","192","168","233","143","142","146","285","277","303","0.64"
"K","uss","2","2003","203","189","223","154","153","157","299","301","303","0.64"
"K","uss","2","2004","225","219","234","189","188","191","302","303","303","0.51"
"K","uss","2","2005","252","246","262","150","151","155","293","290","297","0.57"
"K","uss","2","2006","227","218","246","166","166","173","284","276","303","0.52"
"K","uss","2","2007","257","218","293","188","186","193","303","303","303","0.45"
"K","uss","2","2008","276","278","296","167","165","171","303","303","303","0.57"
"K","uss","2","2009","243","218","275","121","118","130","296","293","301","0.72"
"K","uss","2","2010","273","270","291","107","92","158","303","303","303","0.69"
"K","uss","2","2011","208","192","244","167","166","169","302","302","303","0.61"
"K","uss","2","2012","265","256","284","111","92","146","302","303","303","0.57"
"K","uss","2","2013","254","246","268","202","191","223","301","303","303","0.43"
"K","uss","2","2014","232","202","283","150","92","183","302","303","303","0.55"
"K","uss","2","2015","214","203","230","162","161","165","300","299","303","0.64"
"K","uss","2","2016","271","262","286","178","151","222","302","302","303","0.44"
"K","uss","2","2017","185","178","185","175","171","177","200","185","247","0.13"
