"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl"
"K","ps","1","1978","218","210","225","255","204","358","269","214","366"
"K","ps","1","1979","274","238","311","279","183","362","295","188","366"
"K","ps","1","1980","272","230","314","230","183","359","258","189","366"
"K","ps","1","1981","218","194","238","199","183","219","260","192","366"
"K","ps","1","1982","281","265","297","264","251","280","295","276","311"
"K","ps","1","1983","276","238","316","306","183","361","334","235","366"
"K","ps","1","1984","273","237","310","277","183","357","310","197","366"
"K","ps","1","1985","213","190","249","184","183","183","255","201","366"
"K","ps","1","1986","265","232","293","209","183","260","247","192","308"
"K","ps","1","1987","278","240","317","252","183","337","282","217","366"
"K","ps","1","1988","282","242","329","283","183","344","345","289","366"
"K","ps","1","1989","268","261","275","255","245","266","280","275","286"
"K","ps","1","1990","251","214","276","204","183","252","281","255","327"
"K","ps","1","1991","272","258","285","250","226","270","292","279","305"
"K","ps","1","1992","269","233","307","226","183","335","277","195","366"
"K","ps","1","1993","268","228","311","210","183","305","263","199","366"
"K","ps","1","1994","271","225","315","197","183","245","248","203","295"
"K","ps","1","1995","273","225","311","194","183","213","237","196","282"
"K","ps","1","1996","270","217","317","211","183","277","321","251","366"
"K","ps","1","1997","294","201","356","234","183","341","362","366","366"
"K","ps","1","1998","293","265","315","238","183","276","343","329","366"
"K","ps","1","1999","295","232","344","215","183","279","360","341","366"
"K","ps","1","2000","278","205","340","206","183","270","364","363","366"
"K","ps","1","2001","277","204","336","202","183","252","347","316","366"
"K","ps","1","2002","304","273","330","268","183","312","331","308","345"
"K","ps","1","2003","311","293","328","263","242","284","354","349","359"
"K","ps","1","2004","281","218","347","212","183","258","366","366","366"
"K","ps","1","2005","294","239","331","232","183","328","289","239","366"
"K","ps","1","2006","344","327","359","300","278","319","366","366","366"
"K","ps","1","2007","346","347","363","283","183","343","366","366","366"
"K","ps","1","2008","279","259","300","243","183","278","313","290","349"
"K","ps","1","2009","328","303","342","306","279","333","345","336","357"
"K","ps","1","2010","289","258","346","230","183","267","355","325","366"
"K","ps","1","2011","297","236","352","245","203","284","364","355","366"
"K","ps","1","2012","333","321","347","295","244","316","364","359","366"
"K","ps","1","2013","294","278","305","272","255","296","362","366","366"
"K","ps","1","2014","326","317","339","288","237","314","352","345","359"
"K","ps","1","2015","294","196","357","222","183","347","358","365","366"
"K","ps","1","2016","294","288","300","268","264","280","364","366","366"
"K","ps","1","2017","337","321","350","300","293","321","363","355","366"
