"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"K","ps","1","1978","219","211","223","219","203","219","239","217","244","0.04"
"K","ps","1","1979","272","240","304","268","183","361","288","193","366","0.01"
"K","ps","1","1980","274","241","309","256","183","359","281","190","366","0.01"
"K","ps","1","1981","219","195","235","195","183","207","266","198","366","0.13"
"K","ps","1","1982","280","264","295","259","248","272","302","280","320","0.15"
"K","ps","1","1983","276","245","307","276","183","355","316","217","366","0.03"
"K","ps","1","1984","273","241","305","264","183","349","307","222","366","0.05"
"K","ps","1","1985","218","192","250","184","183","183","261","204","366","0.23"
"K","ps","1","1986","273","243","302","222","183","286","262","196","366","0.04"
"K","ps","1","1987","272","241","304","237","183","302","281","227","366","0.04"
"K","ps","1","1988","281","245","320","266","183","333","334","261","366","0.14"
"K","ps","1","1989","268","261","274","252","242","263","283","279","289","0.13"
"K","ps","1","1990","248","216","272","206","183","251","282","261","305","0.32"
"K","ps","1","1991","271","259","282","248","227","266","294","283","305","0.2"
"K","ps","1","1992","272","240","305","236","183","328","282","196","366","0.05"
"K","ps","1","1993","271","235","307","212","183","277","269","204","366","0.1"
"K","ps","1","1994","269","227","303","201","183","256","253","208","299","0.1"
"K","ps","1","1995","274","234","311","205","183","277","255","205","332","0.09"
"K","ps","1","1996","273","228","316","211","183","269","326","259","366","0.44"
"K","ps","1","1997","302","211","355","227","183","300","364","366","366","0.5"
"K","ps","1","1998","292","264","315","233","183","269","344","332","366","0.57"
"K","ps","1","1999","295","242","336","213","183","271","360","343","366","0.75"
"K","ps","1","2000","283","206","342","201","183","250","366","366","366","0.76"
"K","ps","1","2001","269","205","327","199","183","244","355","334","366","0.72"
"K","ps","1","2002","304","275","330","259","201","298","339","331","348","0.29"
"K","ps","1","2003","312","296","327","261","247","278","357","353","362","0.47"
"K","ps","1","2004","281","220","338","207","183","253","366","366","366","0.78"
"K","ps","1","2005","291","244","329","249","183","316","313","272","352","0.19"
"K","ps","1","2006","344","331","358","292","273","309","366","366","366","0.36"
"K","ps","1","2007","342","351","360","268","183","337","366","366","366","0.26"
"K","ps","1","2008","278","264","294","240","183","270","336","304","358","0.34"
"K","ps","1","2009","328","305","342","289","271","313","352","345","366","0.2"
"K","ps","1","2010","286","259","342","225","183","260","358","335","366","0.55"
"K","ps","1","2011","292","239","348","235","200","266","365","362","366","0.55"
"K","ps","1","2012","332","321","346","274","230","305","365","365","366","0.33"
"K","ps","1","2013","293","279","302","260","250","281","366","366","366","0.28"
"K","ps","1","2014","327","319","339","276","242","304","355","350","362","0.3"
"K","ps","1","2015","292","202","349","206","183","295","365","366","366","0.29"
"K","ps","1","2016","294","289","300","267","264","276","366","366","366","0.28"
"K","ps","1","2017","335","321","348","285","183","308","365","363","366","0.27"
