"","lowobs","hiobs","probobs","firstdif","firstdifp","lastdif","lastdifp"
"1",89,123,0.85,-1,0.364945907432847,0.100000000000023,0.833226527700479
"2",89,123,0.85,0.2,0.72893070620327,2.19999999999999,0.0401448044220392
"3",89,123,0.85,0.5,0.640049545390599,1.59999999999999,0.0975062697583408
"4",89,123,0.85,-1.2,0.319212454881084,1.39999999999998,0.032884208601493
"5",89,123,0.85,-0.9,0.300910627304058,0.799999999999983,0.348560659595134
"6",89,123,0.85,-1.2,0.0457151857236105,0.600000000000023,0.363073603944603
"7",89,123,0.85,-0.5,0.403009777261578,-0.800000000000011,0.397329812701438
"8",89,123,0.85,0,1,-0.0999999999999943,0.922681198527789
"9",89,123,0.85,0.7,0.456115084586354,-0.5,0.557628630658164
"10",89,123,0.85,0,1,-0.400000000000006,0.504608947354308
"11",89,123,0.85,0.7,0.351928237667627,-0.0999999999999943,0.88876727904041
"12",89,123,0.85,-0.0999999999999996,0.936245578900546,1.39999999999998,0.367171084937349
"13",89,123,0.85,-1.3,0.0993090806894104,-0.0999999999999943,0.939232008952349
"14",89,123,0.85,-0.8,0.17570601788101,0.200000000000017,0.7141690818774
"15",89,123,0.85,0.3,0.464491487489036,-0.300000000000011,0.784480641009948
"16",89,123,0.85,-0.9,0.179824554757341,0.199999999999989,0.701796560303742
"17",89,123,0.85,0.4,0.522100976380217,1,0.140333202147685
"18",89,123,0.85,-1.1,0.197259540105264,1.19999999999999,0.0466288129745505
"19",89,123,0.85,0.2,0.832021924061158,0.800000000000011,0.385608580457778
"20",89,123,0.85,-0.3,0.674718412346557,0.899999999999977,0.242823779725005
