"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"K","ps","1","peak","1.8","1.51","2.11"
"K","ps","1","first","1.7","1.14","2.27"
"K","ps","1","last","2.76","2.24","3.3"
"K","ps","1","peak.20012016","1.82","0.59","2.96"
"K","ps","1","first.20012016","2.73","1.55","3.9"
"K","ps","1","last.20012016","1.62","0.88","2.33"
