"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"L","ps","1","peak","1.06","0.64","1.46"
"L","ps","1","first","1.74","0.46","2.93"
"L","ps","1","last","1.02","-0.38","2.34"
"L","ps","1","peak.20012016","-0.39","-1.36","0.66"
"L","ps","1","first.20012016","1.46","-0.92","3.79"
"L","ps","1","last.20012016","-1.33","-2.59","0.02"
