"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"J","ps","1","peak","1.09","0.55","1.59"
"J","ps","1","first","0.52","-0.39","1.42"
"J","ps","1","last","0.97","0.13","1.81"
"J","ps","1","peak.20022016","0.34","-1.93","2.68"
"J","ps","1","first.20022016","2.43","0.37","4.62"
"J","ps","1","last.20022016","-1.44","-3.27","0.21"
