"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl"
"K","uss","2","1978","209","198","221","193","186","202","300","303","303"
"K","uss","2","1979","191","183","196","179","171","187","298","303","303"
"K","uss","2","1980","212","188","220","202","180","214","269","215","303"
"K","uss","2","1981","214","197","254","160","92","211","230","207","263"
"K","uss","2","1982","240","229","252","233","223","247","252","238","269"
"K","uss","2","1983","199","187","209","147","92","179","236","216","266"
"K","uss","2","1984","212","179","289","165","160","172","297","289","303"
"K","uss","2","1985","182","170","191","156","153","161","271","220","303"
"K","uss","2","1986","171","161","178","149","146","153","273","214","303"
"K","uss","2","1987","190","174","207","155","153","160","294","278","303"
"K","uss","2","1988","180","170","185","155","153","158","301","303","303"
"K","uss","2","1989","175","162","189","150","143","156","251","196","303"
"K","uss","2","1990","195","184","201","156","118","173","269","257","279"
"K","uss","2","1991","178","168","188","140","135","144","220","212","225"
"K","uss","2","1992","243","227","267","204","140","245","274","250","303"
"K","uss","2","1993","250","231","286","127","92","213","291","264","303"
"K","uss","2","1994","179","172","186","157","154","161","240","201","303"
"K","uss","2","1995","209","154","244","140","137","143","263","254","270"
"K","uss","2","1996","174","168","179","152","149","155","263","247","303"
"K","uss","2","1997","192","150","293","135","131","138","303","303","303"
"K","uss","2","1998","252","189","285","148","146","152","296","281","303"
"K","uss","2","1999","231","214","248","168","165","172","271","263","280"
"K","uss","2","2000","184","179","190","166","163","169","248","211","282"
"K","uss","2","2001","189","158","230","138","135","141","284","278","291"
"K","uss","2","2002","194","165","236","143","140","146","283","273","303"
"K","uss","2","2003","204","182","229","154","152","157","298","282","303"
"K","uss","2","2004","226","215","238","188","186","191","302","296","303"
"K","uss","2","2005","252","241","263","151","150","156","292","288","297"
"K","uss","2","2006","227","198","250","164","159","171","284","274","303"
"K","uss","2","2007","259","213","295","184","182","190","303","303","303"
"K","uss","2","2008","273","196","295","166","161","171","303","303","303"
"K","uss","2","2009","242","201","276","122","107","130","296","291","302"
"K","uss","2","2010","273","234","293","111","92","159","303","303","303"
"K","uss","2","2011","208","189","248","167","165","170","302","299","303"
"K","uss","2","2012","263","238","286","112","92","160","302","303","303"
"K","uss","2","2013","256","243","274","203","188","224","301","294","303"
"K","uss","2","2014","233","200","284","148","92","184","302","301","303"
"K","uss","2","2015","213","196","232","163","160","165","298","291","303"
"K","uss","2","2016","269","246","288","182","148","222","302","298","303"
"K","uss","2","2017","183","176","185","174","168","178","195","182","241"
