"type","sp","site","mn.total.runsize","first.int","first.intlci","first.intuci","first.yr","first.yrlci","first.yruci","last.int","last.intlci","last.intuci","last.yr","last.yrlci","last.yruci","mid.int","mid.intlci","mid.intuci","mid.yr","mid.yrlci","mid.yruci","pk.int","pk.intlci","pk.intuci","pk.yr","pk.yrlci","pk.yruci"
"wild","CK","CEDAR RIVER HATCHERY","36","884.346","327.003","1441.689","-0.312","-0.589","-0.034","3123.184","2347.135","3899.232","-1.41","-1.796","-1.023","876.95","-35.281","1789.182","-0.302","-0.756","0.152","1341.075","529.325","2152.825","-0.534","-0.939","-0.13"
"wild","CH","GARRISON HATCHERY","1320.75","-6834.86","-11045.111","-2624.609","3.563","1.463","5.662","5408.523","2700.307","8116.738","-2.519","-3.87","-1.168","1253.252","-798.305","3304.809","-0.452","-1.475","0.571","3732.581","1822.463","5642.698","-1.688","-2.64","-0.735"
"wild","CH","SOOS CREEK HATCHERY","489.25","1913.207","-556.833","4383.247","-0.793","-2.021","0.435","8348.755","2409.349","14288.161","-3.982","-6.935","-1.028","2861.528","913.056","4810","-1.261","-2.23","-0.292","3621.149","2096.033","5146.265","-1.641","-2.399","-0.882"
"wild","CO","CEDAR RIVER HATCHERY","21.1538461538462","393.536","-840.238","1627.31","-0.061","-0.676","0.555","3671.596","2284.877","5058.314","-1.679","-2.371","-0.988","3385.67","2095.137","4676.204","-1.544","-2.188","-0.901","3763.732","2749.802","4777.661","-1.733","-2.239","-1.227"
"wild","CO","MINTER CR HATCHERY","621.666666666667","-3948.833","-7180.986","-716.68","2.083","0.478","3.688","-7478.244","-13067.995","-1888.494","3.867","1.091","6.642","-2770.122","-7248.802","1708.557","1.517","-0.707","3.74","-4411.333","-8655.08","-167.587","2.333","0.226","4.44"
