"pod","region","season","year","peak.psi","peak.lcl","peak.ucl","first.psi","first.lcl","first.ucl","last.psi","last.lcl","last.ucl","mean.psi"
"J","ps","1","1978","213","208","217","226","201","212","242","213","224","0.06"
"J","ps","1","1979","280","267","293","305","254","356","330","284","366","0.01"
"J","ps","1","1980","273","259","287","212","183","194","236","194","250","0.01"
"J","ps","1","1981","240","230","247","248","220","250","265","234","328","0.03"
"J","ps","1","1982","288","279","297","270","263","278","304","296","313","0.16"
"J","ps","1","1983","272","254","289","286","183","349","326","290","366","0.03"
"J","ps","1","1984","271","253","288","256","183","338","308","264","366","0.06"
"J","ps","1","1985","208","194","219","183","183","183","236","208","247","0.22"
"J","ps","1","1986","272","258","288","218","183","249","249","202","297","0.03"
"J","ps","1","1987","333","328","345","300","301","327","363","366","366","0.28"
"J","ps","1","1988","321","305","339","275","269","297","361","366","366","0.43"
"J","ps","1","1989","279","272","286","263","256","270","297","287","305","0.17"
"J","ps","1","1990","246","233","262","196","183","196","266","255","266","0.26"
"J","ps","1","1991","271","264","279","249","236","263","289","282","296","0.16"
"J","ps","1","1992","298","287","308","268","252","289","329","310","350","0.3"
"J","ps","1","1993","338","340","357","249","183","324","365","366","366","0.33"
"J","ps","1","1994","323","313","348","229","183","283","366","366","366","0.63"
"J","ps","1","1995","311","295","343","194","183","183","366","366","366","0.92"
"J","ps","1","1996","271","249","293","211","183","237","326","291","366","0.44"
"J","ps","1","1997","222","196","236","184","183","183","365","366","366","0.77"
"J","ps","1","1998","317","305","340","226","183","264","365","366","366","0.73"
"J","ps","1","1999","300","281","326","211","183","244","363","366","366","0.78"
"J","ps","1","2000","272","252","298","207","183","234","344","338","349","0.71"
"J","ps","1","2001","275","250","304","216","183","249","329","321","341","0.56"
"J","ps","1","2002","259","235","283","198","183","209","334","314","357","0.7"
"J","ps","1","2003","314","305","323","265","258","277","358","352","366","0.48"
"J","ps","1","2004","272","250","293","216","183","252","339","325","357","0.58"
"J","ps","1","2005","333","326","346","261","183","299","365","366","366","0.47"
"J","ps","1","2006","296","289","302","274","266","282","318","310","326","0.22"
"J","ps","1","2007","298","293","303","257","250","265","336","332","339","0.43"
"J","ps","1","2008","314","293","350","230","183","270","366","366","366","0.62"
"J","ps","1","2009","304","312","337","199","183","183","349","349","366","0.34"
"J","ps","1","2010","287","273","301","228","183","259","351","331","366","0.57"
"J","ps","1","2011","307","279","334","251","232","272","363","365","366","0.54"
"J","ps","1","2012","319","316","323","294","290","298","340","337","343","0.24"
"J","ps","1","2013","292","280","296","272","261","282","364","366","366","0.31"
"J","ps","1","2014","320","315","329","287","283","304","354","344","366","0.3"
"J","ps","1","2015","282","244","314","205","183","183","264","206","319","0.24"
"J","ps","1","2016","296","292","300","273","270","278","326","320","332","0.29"
"J","ps","1","2017","285","280","290","260","259","268","320","305","338","0.31"
