"pod","region","season","phase","slope.mn","slope.lci","slope.uci"
"J","uss","2","peak","1.1","0.3","1.85"
"J","uss","2","first","-0.77","-1.05","-0.51"
"J","uss","2","last","1.12","0.82","1.44"
"J","uss","2","peak.20022016","6.15","0.69","1.85"
"J","uss","2","first.20022016","1.11","0.76","1.61"
"J","uss","2","last.20022016","0.24","-0.1","0.56"
