"","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"8",0.947509348936457,0.481537710485836,0.472942884568757,0.289173749223692,0.780113359940386,0.488111457648535,0.477280481503501,0.544764952510797,0.491980624531331,0.499856431582634,0.482887717587395,0.883650523626839,0.276582143852195,0.490632366831876,0.486289533825407,0.484446099338741,0.48763713789693,0.48908674541703,0.456290737416083,0.357627220816708,0.130133033285626,0.0802747583515476,0.100441428325792,0.168574309460503,0.374087712609804,0.265205118456782,0.239890007293481,0.16802261064325,0.23124278258984,0.343543748980376,0.423179249283345,0.386967989799502,0.988125212150515,0.989298760901769,0.908861820773391,0.903935004212381,0.204039967966884,0.5501572740905,0.767850713803822,0.830959584931033
"9",0.933574972618882,0.499608597144434,0.492824458037759,0.493119798464129,0.689676179645832,0.493966202232389,0.492699743687698,0.245688706514927,0.482890723731718,0.496769283355011,0.496762107532777,0.916205241371582,0.334519525586141,0.302831976849165,0.47975077572169,0.447507582788953,0.473887130841798,0.496455563600959,0.497179000063342,0.477143177852699,0.473412351070456,0.537447140195512,0.402176684845158,0.351174124833803,0.323399108441718,0.277919418507843,0.466282880120948,0.25579196311549,0.278635551495065,0.610631119103035,0.550703695556591,0.652461406584267,0.964907228549053,0.944772410080141,0.823155913081549,0.961058248048694,0.305088402954275,0.325181677112671,0.848149101669885,0.983853148290491
"10",0.912831115564619,0.497027705175384,0.490390642439834,0.592498198406509,0.62680402361981,0.498510931034685,0.462450764124807,0.322444213618146,0.487317399178058,0.507391824450127,0.467432520920053,0.886400602668452,0.274710535582003,0.588908827670181,0.447937206378989,0.419617195375226,0.478463286060117,0.482255625434464,0.506934154493979,0.245690966071522,0.637494641732555,0.240018084324048,0.866375232738027,0.245697105594096,0.176161497600906,0.440952029379832,0.402039587500558,0.551052406507553,0.528961660580324,0.540699676913746,0.546314160361304,0.767675977333994,0.966412505938414,0.930230681395485,0.680734473345718,0.825722726301348,0.223805870761107,0.2722280997645,0.946646145230482,0.916766683343299
"11",0.488585290226105,0.492556250663073,0.4919606700541,0.494932783083963,0.504433133119929,0.510164991397082,0.497568180925057,0.508026447721072,0.50468564004467,0.504931238298141,0.50353887838778,0.488891882727623,0.504194858111656,0.498719614278795,0.498132275989109,0.498206420067686,0.503057724152128,0.489767898041327,0.499848853906592,0.497479681295658,0.504336668456999,0.501595415446069,0.497883282536166,0.510841912186749,0.326842613356726,0.501637277861592,0.492214827472755,0.478725244107066,0.270935275333839,0.421165307245629,0.507528151662715,0.491645312983657,0.501982278590775,0.496703004776337,0.504429714181889,0.502703402836928,0.497460065667959,0.502208038042902,0.508163743611932,0.499729693776976
"12",0.944643193406073,0.499170628483326,0.491076652825042,0.314113259588306,0.500731577856456,0.497139560402198,0.48495335117534,0.498451813045849,0.509691991781328,0.505620406907111,0.506167468523837,0.499284197831753,0.500162960583893,0.500276761922372,0.501568450408536,0.49694359515634,0.500139912391032,0.503001448117394,0.505873622810127,0.430427167924681,0.506188402366163,0.506855156875184,0.46797161468885,0.243741008856629,0.503979572588568,0.66533124857746,0.333276169306194,0.48268114120833,0.754477486272848,0.199511794540886,0.479941994385933,0.380844787858059,0.669419746989805,0.364879203641913,0.487779997436921,0.0925340966128183,0.0540471294981675,0.604925196894012,0.434348696695155,0.513362031759241
"19",0.501439894723131,0.508585673883394,0.501808621663103,0.514658662256089,0.495189244291919,0.495381756579428,0.496994086203044,0.60530992039775,0.500002513260767,0.497665526902109,0.489056115390384,0.671029867946058,0.499205381143051,0.5066599886504,0.51140821636428,0.493821104984499,0.488822495115812,0.493618598891909,0.496191374627192,0.497422051445948,0.499450845390377,0.500877687490147,0.502806146054376,0.368427907008934,0.291198410555611,0.619747684303745,0.100568932079014,0.475210286479153,0.414557221890869,0.505036617362243,0.509598757889065,0.488532269008768,0.507090367189913,0.822862348813164,0.405029986939318,0.0705940259471916,0.0440329284903049,0.451261261563063,0.454956292565331,0.486538967281627
"20",0.500978550769718,0.487724625435243,0.514313238751484,0.485869727257036,0.492754914724227,0.480681732931401,0.495816853342852,0.492052021993914,0.493733903239619,0.518729289776772,0.490331247510806,0.714658380914575,0.494020875937334,0.497565661616094,0.506709364404533,0.496457361607043,0.503469143327007,0.49839287466799,0.494183449726913,0.509758851357936,0.496768738899492,0.493876787523532,0.514621993383596,0.348194402175271,0.451495247920968,0.655931915358609,0.170697402652601,0.32910951301093,0.387300801176529,0.491523832268378,0.508274480402343,0.494994010617351,0.498255307874921,0.897242770596302,0.903698761844622,0.54376462839517,0.153628825275856,0.27761440073182,0.720281407490243,0.835972718086969
