"","x"
"sp","ck"
"site","albion"
"mn.cpue","0.168811881188119"
"mn.total","1816.8"
"meanfirst.int","-801.679"
"first.intlci","-1308.983"
"first.intuci","-294.375"
"first.yr","0.455"
"first.yrlci","0.201"
"first.yruci","0.709"
"last.int","-9865.122"
"last.intlci","-12039.472"
"last.intuci","-7690.773"
"last.yr","5.013"
"last.yrlci","3.926"
"last.yruci","6.101"
"mid.int","-2304.229"
"mid.intlci","-2779.453"
"mid.intuci","-1829.004"
"mid.yr","1.255"
"mid.yrlci","1.017"
"mid.yruci","1.492"
"pk.int","-2084.334"
"pk.intlci","-3065.715"
"pk.intuci","-1102.953"
"pk.yr","1.145"
"pk.yrlci","0.654"
"pk.yruci","1.636"
