"","x"
"sp","ck"
"site","albion"
"mn.cpue","0.168811881188119"
"mn.total","1816.8"
"meanfirst.int","-2710.737"
"first.intlci","-4535.051"
"first.intuci","-886.422"
"first.yr","1.405"
"first.yrlci","0.498"
"first.yruci","2.313"
"last.int","-18219.421"
"last.intlci","-23217.46"
"last.intuci","-13221.382"
"last.yr","9.158"
"last.yrlci","6.671"
"last.yruci","11.644"
"mid.int","-1262"
"mid.intlci","-2814.578"
"mid.intuci","290.578"
"mid.yr","0.733"
"mid.yrlci","-0.039"
"mid.yruci","1.506"
"pk.int","-2664.895"
"pk.intlci","-4962.949"
"pk.intuci","-366.841"
"pk.yr","1.433"
"pk.yrlci","0.29"
"pk.yruci","2.577"
